ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
VOW3.DE,Volkswagen,XETRA,DEU,'Joint venture in reverse': foreign carmakers seek edge with China partners,ev_tech,AFP,2026-04-27T05:16:25Z,https://finance.yahoo.com/sectors/technology/articles/joint-venture-reverse-foreign-carmakers-051625486.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,"Market Underestimating the Growth Potential of Automatic Data Processing (ADP), Says Guggenheim",other,Insider Monkey,2026-04-26T22:40:00Z,https://finance.yahoo.com/markets/stocks/articles/market-underestimating-growth-potential-automatic-224000747.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,How The Avery Dennison (AVY) Story Is Shifting As Analysts Rework Valuation Expectations,other,Simply Wall St.,2026-04-26T18:03:31Z,https://finance.yahoo.com/markets/stocks/articles/avery-dennison-avy-story-shifting-180331385.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,How Investors May Respond To Dolby Laboratories (DLB) Expanding Atmos Into BMW’s Premium In-Car Audio Systems,other,Simply Wall St.,2026-04-26T17:05:33Z,https://finance.yahoo.com/markets/stocks/articles/investors-may-respond-dolby-laboratories-170533848.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,"BMW's new 7 Series offers updated interior digs, more EV range; CEO calls it 'real transformation' for $100K car",ev_tech,Yahoo Finance,2026-04-26T14:00:00Z,https://finance.yahoo.com/markets/article/bmws-new-7-series-offers-updated-interior-digs-more-ev-range-ceo-calls-it-real-transformation-for-100k-car-140000584.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,What Bayer's US Supreme Court case means for the thousands of Roundup lawsuits,other,Reuters,2026-04-26T10:16:35Z,https://finance.yahoo.com/sectors/healthcare/articles/explainer-does-bayers-us-supreme-101635451.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Q2 catalyst: Will World Cup innovation deliver the rebound Nike and Adidas need?,other,Investing.com,2026-04-26T06:06:18Z,https://finance.yahoo.com/markets/stocks/articles/q2-catalyst-world-cup-innovation-060618253.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,DOJ’s Partial Reversal on Powell Probe Keeps Fed Drama Alive,ev_tech,Bloomberg,2026-04-25T18:55:08Z,https://finance.yahoo.com/news/doj-partial-reversal-powell-probe-185508901.html,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,Why Are Mobileye (MBLY) Shares Soaring Today,other,StockStory,2026-04-25T10:13:23Z,https://finance.yahoo.com/markets/stocks/articles/why-mobileye-mbly-shares-soaring-101323110.html,2026-04-27T06:30:09+00:00
MUV2.DE,Munich Re,XETRA,DEU,Is It Smart To Buy Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München (ETR:MUV2) Before It Goes Ex-Dividend?,dividend,Simply Wall St.,2026-04-25T06:03:00Z,https://finance.yahoo.com/markets/stocks/articles/smart-buy-m-nchener-r-060300019.html,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Is It Time To Reconsider Deutsche Telekom (XTRA:DTE) After The Recent Share Price Slide?,other,Simply Wall St.,2026-04-25T01:10:24Z,https://finance.yahoo.com/markets/stocks/articles/time-reconsider-deutsche-telekom-xtra-011024688.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,"These Stocks Are Today’s Movers: Intel, Nvidia, AMD, Organon, Charter, X-Energy, Newmont, Meta, and More",other,Barrons.com,2026-04-24T20:26:00Z,https://www.barrons.com/articles/stock-movers-ae902cd2?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Assessing Deutsche Telekom (XTRA:DTE) Valuation After Recent Share Price Momentum And Long Term Returns,other,Simply Wall St.,2026-04-24T19:06:34Z,https://finance.yahoo.com/markets/stocks/articles/assessing-deutsche-telekom-xtra-dte-190634042.html,2026-04-27T06:30:09+00:00
