date,bank,country,time_utc,decision_type,baseline_rate,fx_ticker,captured_at
2026-04-30,BOJ,japan,03:00,rate_decision,0.50%,FXY,2026-04-27T23:12:25Z
2026-05-08,BOE,uk,12:00,rate_decision,4.25%,FXB,2026-04-27T23:12:25Z
2026-05-22,PBOC,china,01:15,lpr_decision,3.10%,CNY,2026-04-27T23:12:25Z
2026-06-05,ECB,eurozone,13:15,rate_decision,2.50%,FXE,2026-04-27T23:12:25Z
2026-06-11,BOC,canada,14:45,rate_decision,2.75%,FXC,2026-04-27T23:12:25Z
2026-06-17,BOJ,japan,03:00,rate_decision,0.50%,FXY,2026-04-27T23:12:25Z
2026-06-19,BOE,uk,12:00,rate_decision,4.25%,FXB,2026-04-27T23:12:25Z
2026-06-19,SNB,switzerl,08:30,rate_decision,0.25%,FXF,2026-04-27T23:12:25Z
2026-06-20,PBOC,china,01:15,lpr_decision,3.10%,CNY,2026-04-27T23:12:25Z
2026-07-17,ECB,eurozone,13:15,rate_decision,2.50%,FXE,2026-04-27T23:12:25Z
2026-07-30,BOC,canada,14:45,rate_decision,2.50%,FXC,2026-04-27T23:12:25Z
2026-07-31,BOJ,japan,03:00,rate_decision,0.50%,FXY,2026-04-27T23:12:25Z
2026-08-07,BOE,uk,12:00,rate_decision,4.00%,FXB,2026-04-27T23:12:25Z
2026-09-11,ECB,eurozone,13:15,rate_decision,2.25%,FXE,2026-04-27T23:12:25Z
2026-09-18,BOE,uk,12:00,rate_decision,4.00%,FXB,2026-04-27T23:12:25Z
2026-09-19,BOJ,japan,03:00,rate_decision,0.75%,FXY,2026-04-27T23:12:25Z
2026-09-25,SNB,switzerl,08:30,rate_decision,0.25%,FXF,2026-04-27T23:12:25Z
2026-10-23,ECB,eurozone,13:15,rate_decision,2.25%,FXE,2026-04-27T23:12:25Z
2026-10-30,BOJ,japan,03:00,rate_decision,0.75%,FXY,2026-04-27T23:12:25Z
2026-11-06,BOE,uk,12:00,rate_decision,3.75%,FXB,2026-04-27T23:12:25Z
2026-12-11,ECB,eurozone,13:15,rate_decision,2.00%,FXE,2026-04-27T23:12:25Z
2026-12-11,SNB,switzerl,08:30,rate_decision,0.25%,FXF,2026-04-27T23:12:25Z
2026-12-18,BOJ,japan,03:00,rate_decision,1.00%,FXY,2026-04-27T23:12:25Z
2026-12-18,BOE,uk,12:00,rate_decision,3.75%,FXB,2026-04-27T23:12:25Z
