state,ori,county,agency_name,agency_type,nibrs,nibrs_start,lat,lon,captured_at
TX,TX0030400,ANGELINA,Lufkin Police Department,City,1,2019-09-01,31.2520,-94.6111,2026-04-27T17:54:22Z
TX,TX0031100,ANGELINA,Zavalla Police Department,City,1,2021-01-01,31.2520,-94.6111,2026-04-27T17:54:22Z
TX,TX0040000,ARANSAS,Aransas County Sheriff's Office,County,1,2021-01-01,28.0255,-97.0525,2026-04-27T17:54:22Z
TX,TX0041000,ARANSAS,Fulton Police Department,City,1,2021-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0040200,ARANSAS,Rockport Police Department,City,1,2019-12-01,28.0255,-97.0543,2026-04-27T17:54:22Z
TX,TX0040100,"ARANSAS, NUECES, SAN PAT",Aransas Pass Police Department,City,1,2019-05-01,28.0118,-97.5172,2026-04-27T17:54:22Z
TX,TX0050100,ARCHER,Archer City Police Department,City,1,2018-07-01,33.6163,-98.6873,2026-04-27T17:54:22Z
TX,TX0050700,ARCHER,Archer County Constable: Precinct 3,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0050000,ARCHER,Archer County Sheriff's Office,County,1,2023-01-01,33.6163,-98.6873,2026-04-27T17:54:22Z
TX,TX0050200,ARCHER,Holliday Police Department,City,0,,33.6163,-98.6873,2026-04-27T17:54:22Z
TX,TX0060000,ARMSTRONG,Armstrong County Sheriff's Office,County,1,2019-07-01,34.9642,-101.3566,2026-04-27T17:54:22Z
TX,TX0070000,ATASCOSA,Atascosa County Sheriff's Office,County,1,2019-02-01,28.9173,-98.5442,2026-04-27T17:54:22Z
TX,TX0071300,ATASCOSA,Independent School District: Pleasanton,Other,1,2019-10-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0070400,ATASCOSA,Jourdanton Police Department,City,1,2021-01-01,28.9195,-98.5425,2026-04-27T17:54:22Z
TX,TX0070200,ATASCOSA,Pleasanton Police Department,City,1,2019-08-01,28.8914,-98.5354,2026-04-27T17:54:22Z
TX,TX0070300,ATASCOSA,Poteet Police Department,City,1,2021-01-01,28.8914,-98.5354,2026-04-27T17:54:22Z
TX,TX0070100,"ATASCOSA, BEXAR, MEDINA",Lytle Police Department,City,1,2018-01-01,28.8914,-98.5354,2026-04-27T17:54:22Z
TX,TX0080300,AUSTIN,Austin County Constable: Precinct 1,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0080400,AUSTIN,Austin County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0080500,AUSTIN,Austin County Constable: Precinct 3,Other,1,2025-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0080600,AUSTIN,Austin County Constable: Precinct 4,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0080000,AUSTIN,Austin County Sheriff's Office,County,1,2021-02-01,29.9577,-96.2629,2026-04-27T17:54:22Z
TX,TX0080100,AUSTIN,Bellville Police Department,City,1,2017-03-01,29.9498,-96.2551,2026-04-27T17:54:22Z
TX,TX0080900,AUSTIN,Independent School District: Sealy,Other,1,2021-02-01,29.7729,-96.1597,2026-04-27T17:54:22Z
TX,TX0080800,AUSTIN,San Felipe Police Department,City,1,2024-10-01,29.8919,-96.2702,2026-04-27T17:54:22Z
TX,TX0080200,AUSTIN,Sealy Police Department,City,1,2018-07-01,29.8919,-96.2702,2026-04-27T17:54:22Z
TX,TX0080700,AUSTIN,Wallis Police Department,City,1,2019-01-01,29.8919,-96.2702,2026-04-27T17:54:22Z
TX,TX0090000,BAILEY,Bailey County Sheriff's Office,County,1,2019-04-01,34.2243,-102.7272,2026-04-27T17:54:22Z
TX,TX0090100,BAILEY,Muleshoe Police Department,City,1,2018-05-01,34.2239,-102.7241,2026-04-27T17:54:22Z
TX,TX0100000,BANDERA,Bandera County Sheriff's Office,County,1,2019-01-01,29.7557,-99.2606,2026-04-27T17:54:22Z
TX,TX0100700,BANDERA,Bandera Police Department,City,1,2023-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0110400,BASTROP,Bastrop County Constable: Precinct 1,Other,1,2025-03-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0110500,BASTROP,Bastrop County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0110700,BASTROP,Bastrop County Constable: Precinct 4,Other,1,2024-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0110000,BASTROP,Bastrop County Sheriff's Office,County,1,2021-03-01,30.1022,-97.3075,2026-04-27T17:54:22Z
TX,TX0110100,BASTROP,Bastrop Police Department,City,1,2019-08-01,30.1007,-97.3106,2026-04-27T17:54:22Z
TX,TX0110800,BASTROP,Independent School District: Bastrop,Other,1,2021-03-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0110300,BASTROP,Smithville Police Department,City,1,2019-06-01,30.0093,-97.1592,2026-04-27T17:54:22Z
TX,TX0110200,"BASTROP, TRAVIS",Elgin Police Department,City,1,2018-01-01,30.3473,-97.3715,2026-04-27T17:54:22Z
TX,TX0120000,BAYLOR,Baylor County Sheriff's Office,County,1,2021-01-01,33.5879,-99.2616,2026-04-27T17:54:22Z
TX,TX0120200,BAYLOR,Independent School District: Seymour,Other,1,2025-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0120100,BAYLOR,Seymour Police Department,City,1,2016-12-01,33.6189,-99.2078,2026-04-27T17:54:22Z
TX,TX0130000,BEE,Bee County Sheriff's Office,County,1,2018-01-01,28.4161,-97.7426,2026-04-27T17:54:22Z
TX,TX0130100,BEE,Beeville Police Department,City,1,2021-01-01,28.4161,-97.7426,2026-04-27T17:54:22Z
TX,TX0130600,BEE,Independent School District: Beeville,Other,1,2024-04-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0140000,BELL,Bell County Sheriff's Office,County,1,2020-05-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140200,BELL,Belton Police Department,City,1,2021-01-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140900,BELL,Central Texas College,University or Co,1,2021-08-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140300,BELL,Harker Heights Police Department,City,1,2019-08-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140400,BELL,Killeen Police Department,City,1,2020-03-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0141000,BELL,Morgan's Point Resort Police Department,City,1,2020-02-01,31.1286,-97.4687,2026-04-27T17:54:22Z
TX,TX0140500,BELL,Nolanville Police Department,City,1,2020-10-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140600,BELL,Rogers Police Department,City,1,2019-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0141800,BELL,Salado Police Department,City,1,2018-08-01,31.0423,-97.4814,2026-04-27T17:54:22Z
TX,TX0140700,BELL,Temple Police Department,City,1,2003-01-01,31.0951,-97.3395,2026-04-27T17:54:22Z
TX,TX0142300,BELL,Texas A&M University: Central Texas,University or Co,1,2023-02-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX014019E,BELL,University of Mary Hardin-Baylor,University or Co,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0140100,"BELL, WILLIAMSON",Bartlett Police Department,City,1,2025-01-01,30.7958,-97.4254,2026-04-27T17:54:22Z
TX,TX0150100,BEXAR,Alamo Heights Police Department,City,1,2019-09-01,29.4487,-98.5201,2026-04-27T17:54:22Z
TX,TX0150200,BEXAR,Balcones Heights Police Department,City,1,2018-05-01,29.4909,-98.5548,2026-04-27T17:54:22Z
TX,TX0150000,BEXAR,Bexar County Sheriff's Office,County,1,2020-11-01,29.4292,-98.5072,2026-04-27T17:54:22Z
TX,TX0150300,BEXAR,Castle Hills Police Department,City,1,2017-05-01,29.5217,-98.5212,2026-04-27T17:54:22Z
TX,TX0150400,BEXAR,China Grove Police Department,City,1,2021-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0150500,BEXAR,Converse Police Department,City,1,2016-08-01,29.5230,-98.3100,2026-04-27T17:54:22Z
TX,TX0150700,BEXAR,Hill Country Village Police Department,City,1,2019-01-01,29.4487,-98.5201,2026-04-27T17:54:22Z
TX,TX0150800,BEXAR,Hollywood Park Police Department,City,1,2016-10-01,29.5928,-98.4736,2026-04-27T17:54:22Z
TX,TX0150900,BEXAR,Kirby Police Department,City,1,2018-07-01,29.4678,-98.3813,2026-04-27T17:54:22Z
TX,TX0151000,BEXAR,Leon Valley Police Department,City,1,2018-02-01,29.4921,-98.6171,2026-04-27T17:54:22Z
TX,TX0151100,BEXAR,Olmos Park Police Department,City,1,2019-01-01,29.4719,-98.4906,2026-04-27T17:54:22Z
TX,TX0151200,BEXAR,Shavano Park Police Department,City,1,2020-09-01,29.4487,-98.5201,2026-04-27T17:54:22Z
TX,TX0940200,"BEXAR, COMAL, GUADALUPE",Schertz Police Department,City,1,2021-01-01,29.5835,-97.9489,2026-04-27T17:54:22Z
TX,TX0152200,"BEXAR, COMAL, GUADALUPE",Selma Police Department,City,1,2020-10-01,29.4487,-98.5201,2026-04-27T17:54:22Z
TX,TX0153900,"BEXAR, COMAL, KENDALL",Fair Oaks Ranch Police Department,City,1,2019-05-01,29.7311,-98.6290,2026-04-27T17:54:22Z
TX,TXSPD0000,"BEXAR, MEDINA",San Antonio Police Department,City,1,2020-11-01,29.4230,-98.4976,2026-04-27T17:54:22Z
TX,TX0150600,"BEXAR, WILSON",Elmendorf Police Department,City,1,2021-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0160000,BLANCO,Blanco County Sheriff's Office,County,1,2019-10-01,30.2656,-98.4000,2026-04-27T17:54:22Z
TX,TX0160100,BLANCO,Blanco Police Department,City,1,2018-06-01,30.2656,-98.4000,2026-04-27T17:54:22Z
TX,TX0160200,BLANCO,Johnson City Police Department,City,1,2024-01-01,30.2656,-98.4000,2026-04-27T17:54:22Z
TX,TX0170000,BORDEN,Borden County Sheriff's Office,County,1,2019-05-01,32.7386,-101.4392,2026-04-27T17:54:22Z
TX,TX0180300,BOSQUE,Bosque County Constable: Precinct 1,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0181000,BOSQUE,Bosque County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0180000,BOSQUE,Bosque County Sheriff's Office,County,1,2019-03-01,31.9008,-97.6376,2026-04-27T17:54:22Z
TX,TX0180100,BOSQUE,Clifton Police Department,City,1,2019-10-01,31.9008,-97.6376,2026-04-27T17:54:22Z
TX,TX0181200,BOSQUE,Independent School District: Kopperl,Other,1,2023-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0181300,BOSQUE,Independent School District: Walnut Springs,Other,1,2025-03-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0180800,BOSQUE,Meridian Police Department,City,1,2020-01-01,31.9008,-97.6376,2026-04-27T17:54:22Z
TX,TX0180200,"BOSQUE, MCLENNAN",Valley Mills Police Department,City,1,2019-12-01,31.9008,-97.6376,2026-04-27T17:54:22Z
TX,TX0190700,BOWIE,Bowie County Constable: Precinct 1,Other,1,2023-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0190900,BOWIE,Bowie County Constable: Precinct 2,Other,1,2025-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0191000,BOWIE,Bowie County Constable: Precinct 3,Other,1,2025-11-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0191100,BOWIE,Bowie County Constable: Precinct 4,Other,1,2023-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0191200,BOWIE,Bowie County Constable: Precinct 5,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0190800,BOWIE,Hooks Police Department,City,1,2020-08-01,33.4461,-94.4224,2026-04-27T17:54:22Z
TX,TX0191500,BOWIE,Independent School District: Texarkana,Other,1,2023-10-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0190300,BOWIE,Nash Police Department,City,1,2021-01-01,33.4461,-94.4224,2026-04-27T17:54:22Z
TX,TX0190400,BOWIE,New Boston Police Department,City,1,2020-10-01,33.4587,-94.4144,2026-04-27T17:54:22Z
TX,TX0191400,BOWIE,Texarkana College,University or Co,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0190500,BOWIE,Texarkana Police Department,City,1,2021-01-01,33.4056,-94.0431,2026-04-27T17:54:22Z
TX,TX0190600,BOWIE,Wake Village Police Department,City,1,2019-02-01,33.4461,-94.4224,2026-04-27T17:54:22Z
TX,TX0200100,BRAZORIA,Alvin Police Department,City,1,2019-10-01,29.4109,-95.2437,2026-04-27T17:54:22Z
TX,TX0200200,BRAZORIA,Angleton Police Department,City,1,2019-12-01,29.1826,-95.4327,2026-04-27T17:54:22Z
TX,TX0200000,BRAZORIA,Brazoria County Sheriff's Office,County,1,2021-01-01,29.2486,-95.4305,2026-04-27T17:54:22Z
TX,TX0200300,BRAZORIA,Clute Police Department,City,1,2019-01-01,29.0211,-95.4045,2026-04-27T17:54:22Z
TX,TX0200400,BRAZORIA,Danbury Police Department,City,1,2023-10-01,29.1678,-95.4346,2026-04-27T17:54:22Z
TX,TX0200500,BRAZORIA,Freeport Police Department,City,1,2018-01-01,28.9607,-95.3739,2026-04-27T17:54:22Z
TX,TX0200800,BRAZORIA,Lake Jackson Police Department,City,1,2020-11-01,29.0364,-95.4487,2026-04-27T17:54:22Z
TX,TX0200900,BRAZORIA,Manvel Police Department,City,1,2017-10-01,29.1678,-95.4346,2026-04-27T17:54:22Z
TX,TX0202900,BRAZORIA,Oyster Creek Police Department,City,1,2019-01-01,29.0032,-95.3281,2026-04-27T17:54:22Z
TX,TX0201100,BRAZORIA,Richwood Police Department,City,1,2020-11-01,29.0561,-95.4106,2026-04-27T17:54:22Z
TX,TX0201200,BRAZORIA,Sweeny Police Department,City,1,2018-01-01,29.1678,-95.4346,2026-04-27T17:54:22Z
TX,TX0201400,BRAZORIA,West Columbia Police Department,City,1,2017-03-01,29.1428,-95.6456,2026-04-27T17:54:22Z
TX,TX0201000,"BRAZORIA, FORT BEND, HAR",Pearland Police Department,City,1,1998-01-01,29.1678,-95.4346,2026-04-27T17:54:22Z
TX,TX0210500,BRAZOS,Brazos County Constable: Precinct 1,Other,1,2023-06-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0210300,BRAZOS,Brazos County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0210600,BRAZOS,Brazos County Constable: Precinct 3,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0210700,BRAZOS,Brazos County Constable: Precinct 4,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0210000,BRAZOS,Brazos County Sheriff's Office,County,1,2020-11-01,30.6878,-96.3732,2026-04-27T17:54:22Z
TX,TX0210100,BRAZOS,Bryan Police Department,City,1,2020-10-01,30.6567,-96.3024,2026-04-27T17:54:22Z
TX,TX0210200,BRAZOS,College Station Police Department,City,1,2018-01-01,30.6567,-96.3024,2026-04-27T17:54:22Z
TX,TX0210900,BRAZOS,Fire Marshal's Office: Bryan,Other,1,2024-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0211000,BRAZOS,Fire Marshal's Office: College Station,Other,1,2024-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0210400,BRAZOS,Texas A&M University: College Station,University or Co,1,2019-08-01,30.6567,-96.3024,2026-04-27T17:54:22Z
TX,TX0220100,BREWSTER,Alpine Police Department,City,1,2020-04-01,29.8090,-103.2525,2026-04-27T17:54:22Z
TX,TX0220000,BREWSTER,Brewster County Sheriff's Office,County,1,2015-01-01,29.4344,-95.2456,2026-04-27T17:54:22Z
TX,TX0220200,BREWSTER,Sul Ross State University,University or Co,1,2018-04-01,30.3570,-103.6516,2026-04-27T17:54:22Z
TX,TX0230000,BRISCOE,Briscoe County Sheriff's Office,County,1,2018-08-01,34.5252,-101.2059,2026-04-27T17:54:22Z
TX,TX0240000,BROOKS,Brooks County Sheriff's Office,County,1,2020-10-01,27.0350,-98.2153,2026-04-27T17:54:22Z
TX,TX0240100,BROOKS,Falfurrias Police Department,City,1,2021-01-01,27.2249,-98.1433,2026-04-27T17:54:22Z
TX,TX0250100,BROWN,Bangs Police Department,City,1,2022-01-01,31.7641,-98.9985,2026-04-27T17:54:22Z
TX,TX0250700,BROWN,Brown County Constable: Precinct 1,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0250400,BROWN,Brown County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0250600,BROWN,Brown County Constable: Precinct 3,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0250500,BROWN,Brown County Constable: Precinct 4,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0250000,BROWN,Brown County Sheriff's Office,County,1,2019-06-01,31.7275,-99.0019,2026-04-27T17:54:22Z
TX,TX0250200,BROWN,Brownwood Police Department,City,1,2018-01-01,31.7275,-99.0019,2026-04-27T17:54:22Z
TX,TX0250300,BROWN,Early Police Department,City,1,2019-01-01,31.7641,-98.9985,2026-04-27T17:54:22Z
TX,TX0260400,BURLESON,Burleson County Constable: Precinct 2,Other,1,2025-06-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0260500,BURLESON,Burleson County Constable: Precinct 3,Other,1,2025-07-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0260000,BURLESON,Burleson County Sheriff's Office,County,1,2020-11-01,30.5263,-96.7082,2026-04-27T17:54:22Z
TX,TX0260100,BURLESON,Caldwell Police Department,City,1,2020-10-01,30.5273,-96.7135,2026-04-27T17:54:22Z
TX,TX0260200,BURLESON,Somerville Police Department,City,1,2020-11-01,30.4935,-96.6221,2026-04-27T17:54:22Z
TX,TX0270600,BURNET,Bertram Police Department,City,1,2020-05-01,30.7896,-98.2012,2026-04-27T17:54:22Z
TX,TX0270800,BURNET,Burnet County Constable: Precinct 1,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0270900,BURNET,Burnet County Constable: Precinct 2,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0271000,BURNET,Burnet County Constable: Precinct 3,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0270500,BURNET,Burnet County Constable: Precinct 4,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0270000,BURNET,Burnet County Sheriff's Office,County,1,2018-03-01,30.7896,-98.2012,2026-04-27T17:54:22Z
TX,TX0270100,BURNET,Burnet Police Department,City,1,2017-01-01,30.7896,-98.2012,2026-04-27T17:54:22Z
TX,TX0271200,BURNET,Cottonwood Shores Police Department,City,1,1997-12-01,30.5499,-98.3224,2026-04-27T17:54:22Z
TX,TX0270700,BURNET,Granite Shoals Police Department,City,1,2023-09-01,30.5906,-98.3853,2026-04-27T17:54:22Z
TX,TX0270200,BURNET,Marble Falls Police Department,City,1,1997-09-01,30.7896,-98.2012,2026-04-27T17:54:22Z
TX,TX0271100,"BURNET, LLANO",Horseshoe Bay Police Department,City,1,2018-02-01,30.7896,-98.2012,2026-04-27T17:54:22Z
TX,TX0280000,CALDWELL,Caldwell County Sheriff's Office,County,1,2019-07-01,29.8401,-97.6304,2026-04-27T17:54:22Z
TX,TX0280100,CALDWELL,Lockhart Police Department,City,1,2018-01-01,29.8401,-97.6304,2026-04-27T17:54:22Z
TX,TX0280900,CALDWELL,Martindale Police Department,City,1,2023-09-01,29.8401,-97.6304,2026-04-27T17:54:22Z
TX,TX0280200,"CALDWELL, GUADALUPE",Luling Police Department,City,1,2021-01-01,29.6812,-97.6540,2026-04-27T17:54:22Z
TX,TX2272300,"CALDWELL, TRAVIS",Mustang Ridge Police Department,City,1,2019-07-01,30.2395,-97.6913,2026-04-27T17:54:22Z
TX,TX0290400,CALHOUN,Calhoun County Constable: Precinct 1,Other,1,2023-10-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0290600,CALHOUN,Calhoun County Constable: Precinct 3,Other,1,2023-10-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0290000,CALHOUN,Calhoun County Sheriff's Office,County,1,2017-02-01,28.4454,-96.5833,2026-04-27T17:54:22Z
TX,TX0290900,CALHOUN,Independent School District: Calhoun County,Other,1,2017-09-01,28.4454,-96.5833,2026-04-27T17:54:22Z
TX,TX0290100,CALHOUN,Point Comfort Police Department,City,1,2021-01-01,28.4454,-96.5833,2026-04-27T17:54:22Z
TX,TX0290200,CALHOUN,Port Lavaca Police Department,City,1,1999-01-01,28.6162,-96.6261,2026-04-27T17:54:22Z
TX,TX0290300,CALHOUN,Seadrift Police Department,City,1,2022-01-01,28.4454,-96.5833,2026-04-27T17:54:22Z
TX,TX0300000,CALLAHAN,Callahan County Sheriff's Office,County,1,2021-07-01,32.2931,-99.3722,2026-04-27T17:54:22Z
TX,TX0300300,CALLAHAN,Clyde Police Department,City,1,2022-01-01,32.2931,-99.3722,2026-04-27T17:54:22Z
TX,TX0300800,CALLAHAN,Independent School District: Eula,Other,1,2025-08-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0310100,CAMERON,Brownsville Police Department,City,1,2018-03-01,25.9087,-97.4982,2026-04-27T17:54:22Z
TX,TX0310000,CAMERON,Cameron County Sheriff's Office,County,1,2021-01-01,26.1029,-97.4790,2026-04-27T17:54:22Z
TX,TX0310200,CAMERON,Combes Police Department,City,1,2019-10-01,26.1029,-97.4790,2026-04-27T17:54:22Z
TX,TX0310300,CAMERON,Harlingen Police Department,City,1,2018-01-01,26.1029,-97.4790,2026-04-27T17:54:22Z
TX,TX0314100,CAMERON,Independent School District: La Feria,Other,1,2025-06-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0313000,CAMERON,Independent School District: Los Fresnos Consoli,Other,1,2024-08-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0313300,CAMERON,Indian Lake Police Department,City,1,2024-01-01,26.1029,-97.4790,2026-04-27T17:54:22Z
TX,TX0310400,CAMERON,La Feria Police Department,City,1,2021-01-01,26.1586,-97.8237,2026-04-27T17:54:22Z
TX,TX0310500,CAMERON,Los Fresnos Police Department,City,1,2017-10-01,26.0728,-97.4787,2026-04-27T17:54:22Z
TX,TX0313800,CAMERON,Los Indios Police Department,City,0,,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0310600,CAMERON,Port Isabel Police Department,City,1,2018-01-01,26.0741,-97.2094,2026-04-27T17:54:22Z
TX,TX0313400,CAMERON,Port of Brownsville,Other,1,2019-09-01,26.1029,-97.4790,2026-04-27T17:54:22Z
TX,TX0320300,CAMP,Camp County Constable: Precinct 1-4,Other,1,2025-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0320000,CAMP,Camp County Sheriff's Office,County,1,2019-01-01,32.9956,-94.9661,2026-04-27T17:54:22Z
TX,TX0320400,CAMP,Independent School District: Pittsburg,Other,1,2025-08-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0320100,CAMP,Pittsburg Police Department,City,1,2018-01-01,32.9951,-94.9662,2026-04-27T17:54:22Z
TX,TX0330000,CARSON,Carson County Sheriff's Office,County,1,2021-09-01,35.4055,-101.3554,2026-04-27T17:54:22Z
TX,TX0330100,CARSON,Panhandle Police Department,City,1,2021-01-01,35.4055,-101.3554,2026-04-27T17:54:22Z
TX,TX034210X,CASS,Atlanta Fire Department,Other,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0340100,CASS,Atlanta Police Department,City,1,2021-01-01,33.0837,-94.3576,2026-04-27T17:54:22Z
TX,TX0340600,CASS,Cass County Constable: Precinct 2,Other,1,2026-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0341700,CASS,Cass County Constable: Precinct 3,Other,1,2025-08-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0340000,CASS,Cass County Sheriff's Office,County,1,2018-07-01,33.0837,-94.3576,2026-04-27T17:54:22Z
TX,TX0342000,CASS,Independent School District: Hughes Springs,Other,1,2023-10-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0341900,CASS,Independent School District: Queen City,Other,1,2025-12-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0340300,CASS,Linden Police Department,City,1,2020-08-01,33.0837,-94.3576,2026-04-27T17:54:22Z
TX,TX0340400,CASS,Queen City Police Department,City,1,2021-01-01,33.0837,-94.3576,2026-04-27T17:54:22Z
TX,TX0340200,"CASS, MORRIS",Hughes Springs Police Department,City,1,2019-12-01,33.0837,-94.3576,2026-04-27T17:54:22Z
TX,TX0350000,CASTRO,Castro County Sheriff's Office,County,1,2018-08-01,34.5510,-102.3123,2026-04-27T17:54:22Z
TX,TX0350100,CASTRO,Dimmitt Police Department,City,1,2019-12-01,34.5336,-102.2588,2026-04-27T17:54:22Z
TX,TX0350500,CASTRO,Independent School District: Dimmitt,Other,1,2026-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
