filed,form,ticker,issuer,location,ciks,accession,captured_at
2026-04-27,S-1/A,CAII,Collective Acquisition Corp. II,"Miami, FL",0002115404,0001213900-26-048032,2026-04-27T22:55:20Z
2026-04-27,S-1/A,SUJA,"SUJA LIFE, INC.","Oceanside, CA",0001934114,0001104659-26-049001,2026-04-27T22:55:20Z
2026-04-27,S-1,,"MOBIX LABS, INC","Irvine, CA",0001855467,0001493152-26-019180,2026-04-27T22:55:20Z
2026-04-27,S-1/A,DUKR,DUKE Robotics Corp.,Science and Industry Park,0001638911,0001213900-26-048102,2026-04-27T22:55:20Z
2026-04-27,S-1/A,IACQ,Irenic Acquisition Corp.,"New York, NY",0002122505,0001104659-26-048827,2026-04-27T22:55:20Z
2026-04-27,S-1/A,SPTX,"Seaport Therapeutics, Inc.","Boston, MA",0002042347,0001193125-26-178716,2026-04-27T22:55:20Z
2026-04-27,S-1/A,QLEP,Quantum Leap Acquisition Corp,Grand Cayman,0002102155,0001213900-26-047663,2026-04-27T22:55:20Z
2026-04-27,S-1,,"SYNTEC OPTICS HOLDINGS, INC.","Miami Beach, FL",0001866816,0001493152-26-019077,2026-04-27T22:55:20Z
2026-04-27,S-1,MANE,"Veradermics, Inc","New Haven, CT",0001827635,0001628280-26-027631,2026-04-27T22:55:20Z
2026-04-27,S-1,PMI,"Picard Medical, Inc.","Tucson, AZ",0002030617,0001829126-26-003906,2026-04-27T22:55:20Z
2026-04-27,S-1/A,,Ocean Capital Acquisition Corp,"168-200 Connaught Road Central, K3",0001926314,0001493152-26-019021,2026-04-27T22:55:20Z
2026-04-27,S-1/A,,TIAA REAL ESTATE ACCOUNT,"New York, NY",0000946155,0000946155-26-000052,2026-04-27T22:55:20Z
2026-04-27,S-1/A,MOBI,"Mobia Medical, Inc.","Austin, TX",0001489993,0001628280-26-027560,2026-04-27T22:55:20Z
2026-04-27,S-1/A,TRWD,Tradewinds Universal,"Brea, CA",0001916558,0001079973-26-000542,2026-04-27T22:55:20Z
2026-04-27,S-1/A,,Fusemachines Inc.,"Fort Lauderdale, FL",0002033383,0001493152-26-019155,2026-04-27T22:55:20Z
2026-04-27,S-1,,Berto Acquisition Corp. II,"Las Vegas, NV",0002081515,0001829126-26-003952,2026-04-27T22:55:20Z
2026-04-27,S-1/A,,T. Rowe Price Active Crypto ETF,"Baltimore, MD",0002089855,0001999371-26-009120,2026-04-27T22:55:20Z
2026-04-27,S-1/A,COAG,"Hemab Therapeutics Holdings, Inc.","Cambridge, MA",0002114044,0001193125-26-178809,2026-04-27T22:55:20Z
2026-04-27,S-1,EVTV,"Envirotech Vehicles, Inc.","Corona, CA",0001563568,0001437749-26-013504,2026-04-27T22:55:20Z
2026-04-27,S-1/A,SKAI,Sky Acquisition Group,"San Francisco, CA",0002103029,0001829126-26-003976,2026-04-27T22:55:20Z
2026-04-27,S-1/A,HAWK,"HawkEye 360, Inc.","Herndon, VA",0001750704,0001628280-26-027299,2026-04-27T22:55:20Z
2026-04-27,S-1/A,RREV,RRE Ventures Acquisition Corp.,"Boca Raton, FL",0002123969,0001193125-26-181447,2026-04-27T22:55:20Z
2026-04-27,F-1/A,YLY,Zi Yun Dong Fang Ltd,"Kowloon, K3",0002053115,0001493152-26-019131,2026-04-27T22:55:20Z
2026-04-27,F-1,TOPS,TOP SHIPS INC.,Maroussi,0001296484,0001171843-26-002711,2026-04-27T22:55:20Z
2026-04-27,F-1/A,MWC,"Micware Co., Ltd.",Kobe,0002083526,0001829126-26-003987,2026-04-27T22:55:20Z
2026-04-27,F-1/A,UPX,Uptrend Holdings Ltd,New Territories,0002046370,0001213900-26-047926,2026-04-27T22:55:20Z
2026-04-27,1-A/A,,"Vestfundr, LLC","Dover, DE",0002089980,0002089980-26-000003,2026-04-27T22:55:20Z
2026-04-27,1-A/A,,"Havana Roasters Coffee Companies, Inc.","Hollywood, FL",0001409253,0001409253-26-000007,2026-04-27T22:55:20Z
2026-04-27,1-A/A,,"Havana Roasters Coffee Companies, Inc.","Hollywood, FL",0001409253,0001409253-26-000009,2026-04-27T22:55:20Z
2026-04-27,1-A/A,,Frontieras North America,"Scottsdale, AZ",0002035321,0001062993-26-002151,2026-04-27T22:55:20Z
2026-04-24,S-1,,"InterPrivate Investment Partners V, Inc.","New York, NY",0002105274,0001213900-26-047608,2026-04-27T22:55:20Z
2026-04-24,S-1,LASE,Laser Photonics Corp,"Orlando, FL",0001807887,0001493152-26-018979,2026-04-27T22:55:20Z
2026-04-24,S-1/A,XELB,"XCel Brands, Inc.","New York, NY",0001083220,0001104659-26-047895,2026-04-27T22:55:20Z
2026-04-24,S-1/A,OTAI,Starlink AI Acquisition Corp,"New York, NY",0002094076,0001493152-26-018875,2026-04-27T22:55:20Z
2026-04-24,S-1/A,CXII,Churchill Capital Corp XII,"New York, NY",0002114227,0001213900-26-047229,2026-04-27T22:55:20Z
2026-04-24,S-1/A,ETSS,Energy Transition Special Opportunities,"Greenwich, CT",0002085932,0001213900-26-047625,2026-04-27T22:55:20Z
2026-04-24,S-1/A,RBKB,"Rhinebeck Bancorp, Inc.","Poughkeepsie, NY",0001751783,0001104659-26-048594,2026-04-27T22:55:20Z
2026-04-24,S-1/A,IACQ,Irenic Acquisition Corp.,"New York, NY",0002122505,0001104659-26-047925,2026-04-27T22:55:20Z
2026-04-24,S-1/A,SBMT,SILVER BOW MINING CORP.,"Butte, MT",0002067674,0001539497-26-001201,2026-04-27T22:55:20Z
2026-04-24,S-1/A,DSS,"DSS, INC.","West Henrietta, NY",0000771999,0001493152-26-018910,2026-04-27T22:55:20Z
2026-04-24,S-1/A,HCWB,HCW Biologics Inc.,"Miramar, FL",0001828673,0001493152-26-018992,2026-04-27T22:55:20Z
2026-04-24,S-1/A,,CH4 Natural Solutions Corp,"New York, NY",0002044817,0001193125-26-174250,2026-04-27T22:55:20Z
2026-04-24,S-1/A,AIAI,AIAI Holdings Corp,"Dallas, TX",0002096362,0001493152-26-018924,2026-04-27T22:55:20Z
2026-04-24,S-1,,"Lincoln International, Inc.","Chicago, IL",0001925283,0001628280-26-027260,2026-04-27T22:55:20Z
2026-04-24,F-1,TOPS,TOP SHIPS INC.,Maroussi,0001296484,0001171843-26-002707,2026-04-27T22:55:20Z
2026-04-24,F-1/A,NAAS,NaaS Technology Inc.,"Chaoyang District, Beijing",0001712178,0001185185-26-001481,2026-04-27T22:55:20Z
2026-04-24,F-1/A,MNDR,Mobile-health Network Solutions,"Cayman Islands, E9",0001976695,0001493152-26-018824,2026-04-27T22:55:20Z
2026-04-24,1-A,,LAKESIDE SERENITY RESORTS INC,"Fredon Twp, NJ",0002104744,0002104744-26-000011,2026-04-27T22:55:20Z
2026-04-24,1-A,,PSFNetwork MasterSeries LLC,"Wilmington, DE",0002128733,0001213900-26-047553,2026-04-27T22:55:20Z
2026-04-23,S-1/A,,Eagle Nuclear Energy Corp.,"Dallas, TX",0002089283,0001104659-26-047040,2026-04-27T22:55:20Z
2026-04-23,S-1,,Empower Annuity Insurance Co of America,"Greenwood Village, CO",0000744455,0000744455-26-000013,2026-04-27T22:55:20Z
2026-04-23,S-1/A,,AMASS BRANDS,"Los Angeles, CA",0001851491,0001575872-26-000258,2026-04-27T22:55:20Z
2026-04-23,S-1,SPIR,"Spire Global, Inc.","Vienna, VA",0001816017,0001193125-26-173846,2026-04-27T22:55:20Z
2026-04-23,S-1/A,,Forefront Tech Holdings Acquisition Corp,Tortola,0002097986,0001213900-26-047156,2026-04-27T22:55:20Z
2026-04-23,S-1/A,,DentonX Inc,"Oakland, CA",0002093375,0002093375-26-000004,2026-04-27T22:55:20Z
2026-04-23,S-1/A,,RWB Health Inc.,"Carson City, NV",0002107166,0001477932-26-002484,2026-04-27T22:55:20Z
2026-04-23,S-1/A,SKAI,Sky Acquisition Group,"San Francisco, CA",0002103029,0001829126-26-003772,2026-04-27T22:55:20Z
2026-04-23,S-1,HCWB,HCW Biologics Inc.,"Miramar, FL",0001828673,0001493152-26-018758,2026-04-27T22:55:20Z
2026-04-23,S-1,FCUV,FOCUS UNIVERSAL INC.,"West Covina, CA",0001590418,0001683168-26-003166,2026-04-27T22:55:20Z
2026-04-23,S-1/A,PS,"PERSHING SQUARE HOLDCO, L.P.","New York, NY",0002026053,0001140361-26-016419,2026-04-27T22:55:20Z
2026-04-23,S-1/A,RACC,Research Alliance Corp III,"New York, NY",0002118032,0001193125-26-173973,2026-04-27T22:55:20Z
2026-04-23,S-1/A,GLND,Greenland Energy Co,"Austin, TX",0002093507,0001829126-26-003806,2026-04-27T22:55:20Z
2026-04-23,S-1,,"CID Holdco, Inc.","Bethesda, MD",0002033770,0001213900-26-047154,2026-04-27T22:55:20Z
2026-04-23,S-1/A,SNOA,"Sonoma Pharmaceuticals, Inc.","Boulder, CO",0001367083,0001683168-26-003139,2026-04-27T22:55:20Z
2026-04-23,S-1/A,AVLN,Avalyn Pharma Inc.,"Boston, MA",0001540171,0001193125-26-173632,2026-04-27T22:55:20Z
2026-04-23,S-1/A,APUR,Aperture AC,"Alhambra, CA",0002093524,0001213900-26-046793,2026-04-27T22:55:20Z
2026-04-23,F-1/A,,Optimi Health Corp.,"Vancouver, A1",0002027329,0001193125-26-173667,2026-04-27T22:55:20Z
2026-04-23,F-1/A,GRVT,GreenVector Holdings Ltd,Kowloon,0002078037,0001493152-26-018652,2026-04-27T22:55:20Z
2026-04-23,F-1,PLRZ,Polyrizon Ltd.,Ra'anana,0001893645,0001213900-26-047091,2026-04-27T22:55:20Z
2026-04-23,F-1,XNDU,Xanadu Quantum Technologies Ltd,Toronto,0002097163,0001213900-26-046889,2026-04-27T22:55:20Z
2026-04-23,F-1,ZBAO,Zhibao Technology Inc.,"Shanghai, F4",0001966750,0001213900-26-047092,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 16, LLC","New York, NY",0002046162,0001493152-26-018751,2026-04-27T22:55:20Z
2026-04-23,1-A/A,,"Masterworks Vault 10, LLC","New York, NY",0001989528,0001493152-26-018747,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 14, LLC","New York, NY",0002046165,0001493152-26-018779,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 17, LLC","New York, NY",0002046460,0001493152-26-018762,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 19, LLC","New York, NY",0002046464,0001493152-26-018769,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 12, LLC","New York, NY",0002046167,0001493152-26-018767,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 11, LLC","New York, NY",0002046168,0001493152-26-018760,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 20, LLC","New York, NY",0002046623,0001493152-26-018772,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 13, LLC","New York, NY",0002046166,0001493152-26-018775,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 18, LLC","New York, NY",0002046463,0001493152-26-018765,2026-04-27T22:55:20Z
2026-04-23,1-A,,"Masterworks Vault 15, LLC","New York, NY",0002046164,0001493152-26-018782,2026-04-27T22:55:20Z
2026-04-22,S-1,,BurTech Acquisition Corp II,"Coral Gables, FL",0002098707,0001213900-26-046316,2026-04-27T22:55:20Z
2026-04-22,S-1/A,RREV,RRE Ventures Acquisition Corp.,"Boca Raton, FL",0002123969,0001193125-26-170833,2026-04-27T22:55:20Z
2026-04-22,S-1/A,ARCL,ARC Group Acquisition I Corp.,"New York, NY",0002073515,0001493152-26-018389,2026-04-27T22:55:20Z
2026-04-22,S-1/A,,Kraneshares Crypto Trust,"Wilmington, DE",0002073505,0001829126-26-003715,2026-04-27T22:55:20Z
2026-04-22,S-1,CYDY,CytoDyn Inc.,"Vancouver, WA",0001175680,0001104659-26-046921,2026-04-27T22:55:20Z
2026-04-22,S-1/A,ARCL,ARC Group Acquisition I Corp.,"New York, NY",0002073515,0001493152-26-018500,2026-04-27T22:55:20Z
2026-04-22,F-1/A,NEUT,Neutrans Inc.,Cyberjaya,0002065741,0001213900-26-046310,2026-04-27T22:55:20Z
2026-04-22,F-1,,SunScout Holding Ltd,Palmerstorn North,0002101240,0001213900-26-046656,2026-04-27T22:55:20Z
2026-04-22,F-1/A,INHI,Unitrend Entertainment Group Ltd,Beijing,0001997950,0001213900-26-046690,2026-04-27T22:55:20Z
2026-04-22,F-1/A,IBL,I Bella Perfect Inc.,Kuala Lumpur,0002075038,0001213900-26-046363,2026-04-27T22:55:20Z
2026-04-22,1-A,MDCE,Medical Care Technologies Inc.,"Mesa, AZ",0001404593,0001099910-26-000153,2026-04-27T22:55:20Z
2026-04-21,S-1/A,,AEI CapForce II Investment Corp,"Kuala Lumpur, N8",0001875655,0001493152-26-018272,2026-04-27T22:55:20Z
2026-04-21,S-1/A,CAII,Collective Acquisition Corp. II,"Miami, FL",0002115404,0001213900-26-045761,2026-04-27T22:55:20Z
2026-04-21,S-1/A,,Vernal Capital Acquisition Corp.,Singapore,0002081690,0001213900-26-045796,2026-04-27T22:55:20Z
2026-04-21,S-1/A,,SILVER BOW MINING CORP.,"Butte, MT",0002067674,0001539497-26-001162,2026-04-27T22:55:20Z
2026-04-21,S-1,,Hall Chadwick Acquisition Corp II,Grand Cayman,0002130219,0001829126-26-003706,2026-04-27T22:55:20Z
2026-04-21,S-1,,Fusemachines Inc.,"Fort Lauderdale, FL",0002033383,0001493152-26-018303,2026-04-27T22:55:20Z
2026-04-21,S-1/A,PLUN,Plutonian Acquisition Corp. II,"New York, NY",0002065661,0001477932-26-002429,2026-04-27T22:55:20Z
2026-04-21,S-1/A,,"DEEP FISSION, INC.","Berkeley, CA",0001918102,0001104659-26-045974,2026-04-27T22:55:20Z
2026-04-21,S-1/A,,Equitable Financial Life Insurance Co,"New York, NY",0000727920,0001193125-26-165890,2026-04-27T22:55:20Z
2026-04-21,S-1,,East West Ave Acquisition Corp.,"Las Vegas, NV",0002100704,0001493152-26-018171,2026-04-27T22:55:20Z
2026-04-21,S-1/A,EXYN,"Exyn Technologies, Inc.","Philadelphia, PA",0001960355,0001104659-26-045976,2026-04-27T22:55:20Z
2026-04-21,F-1/A,,Optimi Health Corp.,"Vancouver, A1",0002027329,0001193125-26-165337,2026-04-27T22:55:20Z
2026-04-21,F-1/A,,Optimi Health Corp.,"Vancouver, A1",0002027329,0001193125-26-166745,2026-04-27T22:55:20Z
2026-04-21,F-1,,Tarsier Pharma Ltd.,Zichron Yaacov,0002102720,0001213900-26-046063,2026-04-27T22:55:20Z
2026-04-21,F-1,RUBI,Rubico Inc.,Athens,0001943421,0001171843-26-002573,2026-04-27T22:55:20Z
2026-04-21,1-A,,"Upstream Life Securities Fund I, LLC","Oxford, MS",0002126686,0002126686-26-000001,2026-04-27T22:55:20Z
2026-04-21,1-A/A,DPUI,"DISCOUNT PRINT USA, INC.","Las Vegas, NV",0001791929,0001096906-26-000573,2026-04-27T22:55:20Z
2026-04-20,S-1/A,GHYP,Grayscale HYPE ETF,"Stamford, CT",0002107730,0001193125-26-163263,2026-04-27T22:55:20Z
2026-04-20,S-1/A,PS,"PERSHING SQUARE HOLDCO, L.P.","New York, NY",0002026053,0001140361-26-015515,2026-04-27T22:55:20Z
2026-04-20,S-1/A,AIAI,AIAI Holdings Corp,"Dallas, TX",0002096362,0001493152-26-018040,2026-04-27T22:55:20Z
2026-04-20,S-1,AMST,Amesite Inc.,"Ann Arbor, MI",0001807166,0001213900-26-045577,2026-04-27T22:55:20Z
2026-04-20,S-1/A,WENC,West Enclave Merger Corp.,Ciudad De Mexico,0002104260,0001193125-26-163902,2026-04-27T22:55:20Z
2026-04-20,S-1/A,,Tribeca Strategic Acquisition Corp.,"New York, NY",0002094919,0001213900-26-045325,2026-04-27T22:55:20Z
2026-04-20,S-1/A,,"Columbia Financial, Inc./MD/","Fair Lawn, NJ",0002115119,0001193125-26-164317,2026-04-27T22:55:20Z
2026-04-20,S-1/A,USBC,"USBC, Inc.","Reno, NV",0001074828,0001074828-26-000012,2026-04-27T22:55:20Z
2026-04-20,S-1/A,XE,"X-Energy, Inc.","Wilmington, DE",0002088896,0001104659-26-045175,2026-04-27T22:55:20Z
2026-04-20,S-1/A,,"Shepherd's Finance, LLC","Jacksonville, FL",0001544190,0001493152-26-018076,2026-04-27T22:55:20Z
2026-04-20,S-1/A,,PRUCO LIFE INSURANCE CO,"Newark, NJ",0000777917,0000777917-26-000050,2026-04-27T22:55:20Z
2026-04-20,S-1/A,EXYN,"Exyn Technologies, Inc.","Philadelphia, PA",0001960355,0001104659-26-045293,2026-04-27T22:55:20Z
2026-04-20,F-1/A,LSBA,Law's Business Group Holding Ltd,Hong Kong,0002075589,0001213900-26-045442,2026-04-27T22:55:20Z
2026-04-20,F-1,NTCL,NetClass Technology Inc,Singapore,0001927578,0001104659-26-045532,2026-04-27T22:55:20Z
2026-04-20,1-A/A,BSAI,BLUSKY AI INC.,"Murray, UT",0001416090,0001493152-26-018066,2026-04-27T22:55:20Z
2026-04-17,S-1,AMTU,"AMATUHI HOLDINGS, INC.","Yokohama-shi, Kanagawa-ken",0002078570,0001493152-26-017129,2026-04-27T22:55:20Z
2026-04-17,S-1/A,GLND,Greenland Energy Co,"Austin, TX",0002093507,0001829126-26-003582,2026-04-27T22:55:20Z
2026-04-17,S-1,RIME,"Algorhythm Holdings, Inc.","Fort Lauderdale, FL",0000923601,0001493152-26-017876,2026-04-27T22:55:20Z
2026-04-17,S-1,SNOA,"Sonoma Pharmaceuticals, Inc.","Boulder, CO",0001367083,0001683168-26-003052,2026-04-27T22:55:20Z
2026-04-17,S-1,EVMN,"Evommune, Inc.","Palo Alto, CA",0002044725,0001193125-26-161516,2026-04-27T22:55:20Z
2026-04-17,S-1,,Amanat Acquisition Corp.,George Town,0002112457,0001213900-26-045252,2026-04-27T22:55:20Z
2026-04-17,S-1/A,YSWY,"Yesway, Inc.","Beverly, MA",0001859836,0001104659-26-044783,2026-04-27T22:55:20Z
2026-04-17,S-1,,"Mobia Medical, Inc.","Austin, TX",0001489993,0001628280-26-025811,2026-04-27T22:55:20Z
2026-04-17,S-1/A,STI,Solidion Technology Inc.,"Dallas, TX",0001881551,0001213900-26-045227,2026-04-27T22:55:20Z
2026-04-17,S-1/A,,"Neo Aeronautics, Inc.",Singapore,0002036444,0001213900-26-044859,2026-04-27T22:55:20Z
2026-04-17,S-1,,"Odyssey Therapeutics, Inc.","Boston, MA",0001882782,0001193125-26-161514,2026-04-27T22:55:20Z
2026-04-17,S-1,SMTK,"SmartKem, Inc.",Manchester,0001817760,0001104659-26-044933,2026-04-27T22:55:20Z
2026-04-17,S-1,,Fervo Energy Co,"Houston, TX",0001853868,0001628280-26-025821,2026-04-27T22:55:20Z
2026-04-17,S-1,CVM,CEL SCI CORP,"Vienna, VA",0000725363,0001654954-26-003679,2026-04-27T22:55:20Z
2026-04-17,S-1,,GMR Solutions Inc.,"Lewisville, TX",0001898718,0001104659-26-044967,2026-04-27T22:55:20Z
2026-04-17,S-1,,"Liftoff Mobile, Inc.","Palo Alto, CA",0001850351,0001193125-26-161596,2026-04-27T22:55:20Z
2026-04-17,S-1/A,VIDA,VIDA Global Inc.,"Cedar Park, TX",0001973062,0001493152-26-017137,2026-04-27T22:55:20Z
2026-04-17,S-1/A,,Ocean Capital Acquisition Corp,"168-200 Connaught Road Central, K3",0001926314,0001493152-26-017488,2026-04-27T22:55:20Z
2026-04-17,S-1/A,,Conexeu Sciences Inc.,"Reno, NV",0002066836,0001062993-26-002041,2026-04-27T22:55:20Z
2026-04-17,F-1/A,MARH,Starrygazey Inc.,Hong Kong,0002087064,0001493152-26-017135,2026-04-27T22:55:20Z
