cik,company,form,filed_at,description,link,captured_at
0000070858,BANK OF AMERICA CORP /DE/ (0000070858) (Filer),424B2,2026-04-27T17:09:57-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010844 <b>Size:</b> 1 MB,https://www.sec.gov/Archives/edgar/data/70858/000191870426010844/0001918704-26-010844-index.htm,2026-04-27T23:05:37Z
0001665650,JPMorgan Chase Financial Co. LLC (0001665650) (Filer),424B2,2026-04-27T17:08:34-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048076 <b>Size:</b> 402 KB,https://www.sec.gov/Archives/edgar/data/1665650/000121390026048076/0001213900-26-048076-index.htm,2026-04-27T23:05:37Z
0000019617,JPMORGAN CHASE & CO (0000019617) (Filer),424B2,2026-04-27T17:08:34-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048076 <b>Size:</b> 402 KB,https://www.sec.gov/Archives/edgar/data/19617/000121390026048076/0001213900-26-048076-index.htm,2026-04-27T23:05:37Z
0000831001,CITIGROUP INC (0000831001) (Filer),424B2,2026-04-27T17:08:20-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006229 <b>Size:</b> 393 KB,https://www.sec.gov/Archives/edgar/data/831001/000095010326006229/0000950103-26-006229-index.htm,2026-04-27T23:05:37Z
0000200245,Citigroup Global Markets Holdings Inc. (0000200245) (Filer),424B2,2026-04-27T17:08:20-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006229 <b>Size:</b> 393 KB,https://www.sec.gov/Archives/edgar/data/200245/000095010326006229/0000950103-26-006229-index.htm,2026-04-27T23:05:37Z
0001665650,JPMorgan Chase Financial Co. LLC (0001665650) (Filer),424B2,2026-04-27T17:01:57-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010843 <b>Size:</b> 684 KB,https://www.sec.gov/Archives/edgar/data/1665650/000191870426010843/0001918704-26-010843-index.htm,2026-04-27T23:05:37Z
0000019617,JPMORGAN CHASE & CO (0000019617) (Filer),424B2,2026-04-27T17:01:57-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010843 <b>Size:</b> 684 KB,https://www.sec.gov/Archives/edgar/data/19617/000191870426010843/0001918704-26-010843-index.htm,2026-04-27T23:05:37Z
0001563568,"Envirotech Vehicles, Inc. (0001563568) (Filer)",S-1,2026-04-27T16:59:27-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001437749-26-013504 <b>Size:</b> 870 KB,https://www.sec.gov/Archives/edgar/data/1563568/000143774926013504/0001437749-26-013504-index.htm,2026-04-27T23:05:37Z
0001419828,GS Finance Corp. (0001419828) (Filer),424B2,2026-04-27T16:59:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182343 <b>Size:</b> 360 KB,https://www.sec.gov/Archives/edgar/data/1419828/000119312526182343/0001193125-26-182343-index.htm,2026-04-27T23:05:37Z
0000886982,GOLDMAN SACHS GROUP INC (0000886982) (Filer),424B2,2026-04-27T16:59:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182343 <b>Size:</b> 360 KB,https://www.sec.gov/Archives/edgar/data/886982/000119312526182343/0001193125-26-182343-index.htm,2026-04-27T23:05:37Z
0000947263,TORONTO DOMINION BANK (0000947263) (Filer),424B2,2026-04-27T16:57:08-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017147 <b>Size:</b> 2 MB,https://www.sec.gov/Archives/edgar/data/947263/000114036126017147/0001140361-26-017147-index.htm,2026-04-27T23:05:37Z
0000312070,BARCLAYS BANK PLC (0000312070) (Filer),424B2,2026-04-27T16:54:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010842 <b>Size:</b> 549 KB,https://www.sec.gov/Archives/edgar/data/312070/000191870426010842/0001918704-26-010842-index.htm,2026-04-27T23:05:37Z
0001916558,Tradewinds Universal (0001916558) (Filer),S-1,2026-04-27T16:52:31-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001079973-26-000542 <b>Size:</b> 3 MB,https://www.sec.gov/Archives/edgar/data/1916558/000107997326000542/0001079973-26-000542-index.htm,2026-04-27T23:05:37Z
0001916558,Tradewinds Universal (0001916558) (Filer),S-1/A,2026-04-27T16:52:31-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001079973-26-000542 <b>Size:</b> 3 MB,https://www.sec.gov/Archives/edgar/data/1916558/000107997326000542/0001079973-26-000542-index.htm,2026-04-27T23:05:37Z
0001665650,JPMorgan Chase Financial Co. LLC (0001665650) (Filer),424B2,2026-04-27T16:51:23-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010841 <b>Size:</b> 855 KB,https://www.sec.gov/Archives/edgar/data/1665650/000191870426010841/0001918704-26-010841-index.htm,2026-04-27T23:05:37Z
0000019617,JPMORGAN CHASE & CO (0000019617) (Filer),424B2,2026-04-27T16:51:23-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010841 <b>Size:</b> 855 KB,https://www.sec.gov/Archives/edgar/data/19617/000191870426010841/0001918704-26-010841-index.htm,2026-04-27T23:05:37Z
0001665650,JPMorgan Chase Financial Co. LLC (0001665650) (Filer),424B2,2026-04-27T16:49:59-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048058 <b>Size:</b> 272 KB,https://www.sec.gov/Archives/edgar/data/1665650/000121390026048058/0001213900-26-048058-index.htm,2026-04-27T23:05:37Z
0000019617,JPMORGAN CHASE & CO (0000019617) (Filer),424B2,2026-04-27T16:49:59-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048058 <b>Size:</b> 272 KB,https://www.sec.gov/Archives/edgar/data/19617/000121390026048058/0001213900-26-048058-index.htm,2026-04-27T23:05:37Z
0001419828,GS Finance Corp. (0001419828) (Filer),424B2,2026-04-27T16:48:46-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182301 <b>Size:</b> 845 KB,https://www.sec.gov/Archives/edgar/data/1419828/000119312526182301/0001193125-26-182301-index.htm,2026-04-27T23:05:37Z
