pair,usd_rate,inverse_usd,priority,captured_at
JASMY,170.5029838,0.005865,0,2026-04-27T23:11:04Z
JEP,0.7387395126,1.353657119,0,2026-04-27T23:11:04Z
JITOSOL,0.009301892935,107.505,0,2026-04-27T23:11:04Z
JMD,157.9636667,0.006330569688,0,2026-04-27T23:11:04Z
JOD,0.709,1.410437236,0,2026-04-27T23:11:04Z
JTO,2.934702861,0.34075,0,2026-04-27T23:11:04Z
JUP,3777.028103,0.0002647584219,0,2026-04-27T23:11:04Z
JUPITER,5.165289256,0.1936,0,2026-04-27T23:11:04Z
KAITO,2.359325233,0.42385,0,2026-04-27T23:11:04Z
KARRAT,253.164557,0.00395,0,2026-04-27T23:11:04Z
KAT,88.69179601,0.011275,0,2026-04-27T23:11:04Z
KAVA,16.63893511,0.0601,0,2026-04-27T23:11:04Z
KEEP,35.51122527,0.02816010972,0,2026-04-27T23:11:04Z
KERNEL,15.07159005,0.06635,0,2026-04-27T23:11:04Z
KES,129.3251511,0.007732447951,0,2026-04-27T23:11:04Z
KEYCAT,2364.066194,0.000423,0,2026-04-27T23:11:04Z
KGS,87.4307,0.01143763003,0,2026-04-27T23:11:04Z
KHR,4010.281371,0.0002493590617,0,2026-04-27T23:11:04Z
KITE,6.637021305,0.15067,0,2026-04-27T23:11:04Z
