ticker,momentum_score,form,updated_utc,recency_min,link
CORZZ,31,8-K,2026-04-27T17:30:43-04:00,90,https://www.sec.gov/Archives/edgar/data/1839341/000162828026027645/0001628280-26-027645-index.htm
WSUP,31,8-K,2026-04-27T17:29:23-04:00,91,https://www.sec.gov/Archives/edgar/data/1819516/000162828026027641/0001628280-26-027641-index.htm
ELSE,31,8-K,2026-04-27T17:28:36-04:00,92,https://www.sec.gov/Archives/edgar/data/351789/000089710126000148/0000897101-26-000148-index.htm
VLDX,31,8-K,2026-04-27T17:28:17-04:00,92,https://www.sec.gov/Archives/edgar/data/1825079/000149315226019195/0001493152-26-019195-index.htm
WABC,31,8-K,2026-04-27T17:25:43-04:00,95,https://www.sec.gov/Archives/edgar/data/311094/000117184326002737/0001171843-26-002737-index.htm
EMBJ,31,6-K,2026-04-27T17:22:27-04:00,98,https://www.sec.gov/Archives/edgar/data/1355444/000129281426002545/0001292814-26-002545-index.htm
GECCO,31,8-K,2026-04-27T17:21:55-04:00,98,https://www.sec.gov/Archives/edgar/data/1675033/000095010326006233/0000950103-26-006233-index.htm
VIV,31,6-K,2026-04-27T17:22:01-04:00,98,https://www.sec.gov/Archives/edgar/data/1066119/000129281426002544/0001292814-26-002544-index.htm
OIOW,31,6-K,2026-04-27T17:20:51-04:00,100,https://www.sec.gov/Archives/edgar/data/1957538/000149315226019185/0001493152-26-019185-index.htm
CR,31,8-K,2026-04-27T17:19:36-04:00,101,https://www.sec.gov/Archives/edgar/data/1944013/000194401326000133/0001944013-26-000133-index.htm
KINS,31,8-K,2026-04-27T17:18:32-04:00,102,https://www.sec.gov/Archives/edgar/data/33992/000102177126000063/0001021771-26-000063-index.htm
IPOD,31,8-K,2026-04-27T17:15:56-04:00,104,https://www.sec.gov/Archives/edgar/data/2041047/000121390026048089/0001213900-26-048089-index.htm
MANE,31,8-K,2026-04-27T17:16:27-04:00,104,https://www.sec.gov/Archives/edgar/data/1827635/000162828026027629/0001628280-26-027629-index.htm
PFE,31,8-K,2026-04-27T17:16:36-04:00,104,https://www.sec.gov/Archives/edgar/data/78003/000007800326000044/0000078003-26-000044-index.htm
APAD,31,8-K,2026-04-27T17:15:15-04:00,105,https://www.sec.gov/Archives/edgar/data/1956439/000121390026048086/0001213900-26-048086-index.htm
TRT,31,8-K,2026-04-27T17:15:14-04:00,105,https://www.sec.gov/Archives/edgar/data/732026/000143774926013511/0001437749-26-013511-index.htm
YSWY,31,8-K,2026-04-27T17:15:17-04:00,105,https://www.sec.gov/Archives/edgar/data/1859836/000110465926049520/0001104659-26-049520-index.htm
GH,31,8-K,2026-04-27T17:11:52-04:00,109,https://www.sec.gov/Archives/edgar/data/1576280/000119312526182391/0001193125-26-182391-index.htm
NOA,31,6-K,2026-04-27T17:10:25-04:00,110,https://www.sec.gov/Archives/edgar/data/1368519/000117184326002736/0001171843-26-002736-index.htm
BRO,31,8-K,2026-04-27T17:08:57-04:00,111,https://www.sec.gov/Archives/edgar/data/79282/000119312526182375/0001193125-26-182375-index.htm
NGEN,31,6-K,2026-04-27T17:05:57-04:00,114,https://www.sec.gov/Archives/edgar/data/1751912/000110465926049508/0001104659-26-049508-index.htm
PFBX,31,8-K,2026-04-27T17:05:52-04:00,115,https://www.sec.gov/Archives/edgar/data/770460/000110465926049507/0001104659-26-049507-index.htm
BPRN,31,8-K,2026-04-27T17:02:08-04:00,118,https://www.sec.gov/Archives/edgar/data/1913971/000119312526182356/0001193125-26-182356-index.htm
NVRI,31,8-K,2026-04-27T17:02:26-04:00,118,https://www.sec.gov/Archives/edgar/data/45876/000004587626000075/0000045876-26-000075-index.htm
ANTA,31,6-K,2026-04-27T17:00:03-04:00,120,https://www.sec.gov/Archives/edgar/data/2044255/000117184326002735/0001171843-26-002735-index.htm
FLYE,31,8-K,2026-04-27T17:00:17-04:00,120,https://www.sec.gov/Archives/edgar/data/1975940/000121390026048067/0001213900-26-048067-index.htm
GURE,31,8-K,2026-04-27T17:00:26-04:00,120,https://www.sec.gov/Archives/edgar/data/885462/000119380526000512/0001193805-26-000512-index.htm
KVAC,31,8-K,2026-04-27T17:00:15-04:00,120,https://www.sec.gov/Archives/edgar/data/1889983/000121390026048066/0001213900-26-048066-index.htm
LTBR,31,8-K,2026-04-27T17:00:34-04:00,120,https://www.sec.gov/Archives/edgar/data/1084554/000147793226002579/0001477932-26-002579-index.htm
INM,31,8-K,2026-04-27T16:58:16-04:00,122,https://www.sec.gov/Archives/edgar/data/1728328/000121390026048064/0001213900-26-048064-index.htm
NUE,31,8-K,2026-04-27T16:56:42-04:00,124,https://www.sec.gov/Archives/edgar/data/73309/000119312526182332/0001193125-26-182332-index.htm
USAU,31,8-K,2026-04-27T16:50:27-04:00,130,https://www.sec.gov/Archives/edgar/data/27093/000149315226019166/0001493152-26-019166-index.htm
FSUN,31,8-K,2026-04-27T16:47:33-04:00,133,https://www.sec.gov/Archives/edgar/data/1709442/000170944226000026/0001709442-26-000026-index.htm
MRBK,31,8-K,2026-04-27T16:47:26-04:00,133,https://www.sec.gov/Archives/edgar/data/1750735/000175073526000039/0001750735-26-000039-index.htm
CBSH,31,8-K,2026-04-27T16:46:23-04:00,134,https://www.sec.gov/Archives/edgar/data/22356/000002235626000125/0000022356-26-000125-index.htm
IMAQ,31,8-K,2026-04-27T16:45:22-04:00,135,https://www.sec.gov/Archives/edgar/data/1846235/000121390026048055/0001213900-26-048055-index.htm
KRC,31,8-K,2026-04-27T16:43:32-04:00,137,https://www.sec.gov/Archives/edgar/data/1025996/000162828026027543/0001628280-26-027543-index.htm
ODVWZ,31,6-K,2026-04-27T16:42:57-04:00,137,https://www.sec.gov/Archives/edgar/data/1431852/000110465926049484/0001104659-26-049484-index.htm
PAHC,31,8-K,2026-04-27T16:43:50-04:00,137,https://www.sec.gov/Archives/edgar/data/1069899/000110465926049485/0001104659-26-049485-index.htm
FDBC,31,8-K,2026-04-27T16:42:09-04:00,138,https://www.sec.gov/Archives/edgar/data/1098151/000143774926013488/0001437749-26-013488-index.htm
HCA,31,8-K,2026-04-27T16:41:04-04:00,139,https://www.sec.gov/Archives/edgar/data/860730/000119312526182265/0001193125-26-182265-index.htm
ARE,31,8-K,2026-04-27T16:39:01-04:00,141,https://www.sec.gov/Archives/edgar/data/1035443/000103544326000045/0001035443-26-000045-index.htm
CME,31,8-K,2026-04-27T16:38:50-04:00,142,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000022/0001156375-26-000022-index.htm
HLMN,31,8-K,2026-04-27T16:38:44-04:00,142,https://www.sec.gov/Archives/edgar/data/1822492/000182249226000078/0001822492-26-000078-index.htm
PACS,31,8-K,2026-04-27T16:36:22-04:00,144,https://www.sec.gov/Archives/edgar/data/2001184/000200118426000011/0002001184-26-000011-index.htm
CLLS,31,6-K,2026-04-27T16:35:05-04:00,145,https://www.sec.gov/Archives/edgar/data/1627281/000117184326002734/0001171843-26-002734-index.htm
PDC,31,6-K,2026-04-27T16:35:50-04:00,145,https://www.sec.gov/Archives/edgar/data/1944399/000121390026048047/0001213900-26-048047-index.htm
UTZ,31,8-K,2026-04-27T16:33:07-04:00,147,https://www.sec.gov/Archives/edgar/data/1739566/000162828026027526/0001628280-26-027526-index.htm
VTR,31,8-K,2026-04-27T16:33:06-04:00,147,https://www.sec.gov/Archives/edgar/data/740260/000074026026000016/0000740260-26-000016-index.htm
INVL,31,8-K,2026-04-27T16:32:36-04:00,148,https://www.sec.gov/Archives/edgar/data/2001557/000200155726000085/0002001557-26-000085-index.htm
MTDR,31,8-K,2026-04-27T16:31:49-04:00,149,https://www.sec.gov/Archives/edgar/data/1520006/000152000626000008/0001520006-26-000008-index.htm
VOXR,31,6-K,2026-04-27T16:31:21-04:00,149,https://www.sec.gov/Archives/edgar/data/1907909/000165495426003960/0001654954-26-003960-index.htm
CHAR,31,8-K,2026-04-27T16:30:51-04:00,150,https://www.sec.gov/Archives/edgar/data/2024459/000121390026048040/0001213900-26-048040-index.htm
GTY,31,8-K,2026-04-27T16:30:06-04:00,150,https://www.sec.gov/Archives/edgar/data/1052752/000119312526182196/0001193125-26-182196-index.htm
LC,31,8-K,2026-04-27T16:30:43-04:00,150,https://www.sec.gov/Archives/edgar/data/1409970/000140997026000059/0001409970-26-000059-index.htm
LXU,31,8-K,2026-04-27T16:30:14-04:00,150,https://www.sec.gov/Archives/edgar/data/60714/000119312526182194/0001193125-26-182194-index.htm
MATX,31,8-K,2026-04-27T16:30:07-04:00,150,https://www.sec.gov/Archives/edgar/data/3453/000110465926049459/0001104659-26-049459-index.htm
NNNN,31,6-K,2026-04-27T16:30:04-04:00,150,https://www.sec.gov/Archives/edgar/data/1982708/000118518526001504/0001185185-26-001504-index.htm
NVAC,31,8-K,2026-04-27T16:30:37-04:00,150,https://www.sec.gov/Archives/edgar/data/1859807/000121390026048039/0001213900-26-048039-index.htm
SBEV,31,8-K,2026-04-27T16:30:38-04:00,150,https://www.sec.gov/Archives/edgar/data/1553788/000173112226000614/0001731122-26-000614-index.htm
XCH,31,6-K,2026-04-27T16:30:01-04:00,150,https://www.sec.gov/Archives/edgar/data/1979887/000119312526182195/0001193125-26-182195-index.htm
WKHS,31,8-K,2026-04-27T16:29:49-04:00,151,https://www.sec.gov/Archives/edgar/data/1425287/000162828026027522/0001628280-26-027522-index.htm
SEI,31,8-K,2026-04-27T16:27:55-04:00,152,https://www.sec.gov/Archives/edgar/data/1697500/000162828026027520/0001628280-26-027520-index.htm
CI,31,8-K,2026-04-27T16:26:35-04:00,154,https://www.sec.gov/Archives/edgar/data/1739940/000114036126017123/0001140361-26-017123-index.htm
UHT,31,8-K,2026-04-27T16:25:18-04:00,155,https://www.sec.gov/Archives/edgar/data/798783/000119312526182162/0001193125-26-182162-index.htm
CLS,31,8-K,2026-04-27T16:23:00-04:00,157,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000030/0001030894-26-000030-index.htm
GABC,31,8-K,2026-04-27T16:23:23-04:00,157,https://www.sec.gov/Archives/edgar/data/714395/000071439526000016/0000714395-26-000016-index.htm
SEER,31,8-K,2026-04-27T16:23:36-04:00,157,https://www.sec.gov/Archives/edgar/data/1726445/000119312526182155/0001193125-26-182155-index.htm
AOMN,31,8-K,2026-04-27T16:22:46-04:00,158,https://www.sec.gov/Archives/edgar/data/1766478/000176647826000018/0001766478-26-000018-index.htm
CDP,31,8-K,2026-04-27T16:22:18-04:00,158,https://www.sec.gov/Archives/edgar/data/860546/000086054626000024/0000860546-26-000024-index.htm
PRKR,31,8-K,2026-04-27T16:19:58-04:00,160,https://www.sec.gov/Archives/edgar/data/914139/000143774926013473/0001437749-26-013473-index.htm
AEYE,31,8-K,2026-04-27T16:19:48-04:00,161,https://www.sec.gov/Archives/edgar/data/1362190/000110465926049452/0001104659-26-049452-index.htm
FBK,31,8-K,2026-04-27T16:19:40-04:00,161,https://www.sec.gov/Archives/edgar/data/1649749/000164974926000036/0001649749-26-000036-index.htm
SSD,31,8-K,2026-04-27T16:19:43-04:00,161,https://www.sec.gov/Archives/edgar/data/920371/000162828026027513/0001628280-26-027513-index.htm
AGL,31,8-K,2026-04-27T16:18:40-04:00,162,https://www.sec.gov/Archives/edgar/data/1831097/000162828026027512/0001628280-26-027512-index.htm
TRUP,31,8-K,2026-04-27T16:18:28-04:00,162,https://www.sec.gov/Archives/edgar/data/1371285/000137128526000083/0001371285-26-000083-index.htm
ERAS,31,8-K,2026-04-27T16:17:23-04:00,163,https://www.sec.gov/Archives/edgar/data/1761918/000119312526182137/0001193125-26-182137-index.htm
MLM,31,8-K,2026-04-27T16:17:13-04:00,163,https://www.sec.gov/Archives/edgar/data/916076/000095015726000549/0000950157-26-000549-index.htm
TFII,31,6-K,2026-04-27T16:17:18-04:00,163,https://www.sec.gov/Archives/edgar/data/1588823/000119312526182136/0001193125-26-182136-index.htm
