ticker,date,type,headline,price_sensitive,doc_key,file_size,captured_at
FMG,2026-04-23T22:31:15,QUARTERLY ACTIVITIES REPORT,March 2026 Quarterly Production Report,1,2924-03082072-6A1321851,332KB,2026-04-24T21:32:51Z
FMG,2026-04-23T22:27:45,PROGRESS REPORT,Fortescue Invests US$680m To Expand Pilbara Green Energy,1,2924-03082067-6A1321849,193KB,2026-04-24T21:32:51Z
NEM,2026-04-23T22:16:15,DISTRIBUTION ANNOUNCEMENT,Dividend/Distribution - NEM,1,2924-03082020-3A691898,17KB,2026-04-24T21:32:51Z
NEM,2026-04-23T22:16:05,PERIODIC REPORTS,Quarterly Report period ended 31 March 2026 (Form 10-Q),1,2924-03082018-3A691897,459KB,2026-04-24T21:32:51Z
NEM,2026-04-23T22:15:55,PERIODIC REPORTS,First Quarter 2026 Earnings Results Release (Form 8-K),1,2924-03082017-3A691896,518KB,2026-04-24T21:32:51Z
STO,2026-04-22T23:26:12,QUARTERLY ACTIVITIES REPORT,2026 Santos First Quarter Report,1,2924-03081691-2A1667885,578KB,2026-04-24T21:32:51Z
BHP,2026-04-21T22:30:48,QUARTERLY ACTIVITIES REPORT,Quarterly Activities Report,1,2924-03081111-3A691768,132KB,2026-04-24T21:32:51Z
COH,2026-04-21T22:20:02,PERIODIC REPORTS,Trading update and reduction to FY26 earnings guidance,1,2924-03081064-2A1667612,240KB,2026-04-24T21:32:51Z
RIO,2026-04-20T22:19:18,QUARTERLY ACTIVITIES REPORT,Rio Tinto releases first quarter production results,1,2924-03080661-3A691691,205KB,2026-04-24T21:32:51Z
NAB,2026-04-19T22:00:03,DISTRIBUTION ANNOUNCEMENT,NAB balance sheet strengthened and 1H26 earnings impacts,1,2924-03080150-3A691606,116KB,2026-04-24T21:32:51Z
QAN,2026-04-13T23:00:56,PERIODIC REPORTS,Qantas Group Market Update,1,2924-03078385-2A1666297,66KB,2026-04-24T21:32:51Z
WBC,2026-04-13T22:01:01,PERIODIC REPORTS,Items Impacting Half Year 2026 Results,1,2924-03078284-2A1666269,522KB,2026-04-24T21:32:51Z
QBE,2026-04-24T07:19:59,ISSUED CAPITAL,Notification of cessation of securities - QBE,0,2924-03082441-2A1668240,12KB,2026-04-24T21:32:51Z
TLS,2026-04-24T07:05:43,ISSUED CAPITAL,Update - Notification of buy-back - TLS,0,2924-03082431-3A691958,15KB,2026-04-24T21:32:51Z
MQG,2026-04-24T06:04:08,SECURITY HOLDER DETAILS,Ceasing to be a substantial holder from MQG,0,2924-03082370-2A1668195,178KB,2026-04-24T21:32:51Z
MQG,2026-04-24T06:03:13,SECURITY HOLDER DETAILS,Becoming a substantial holder from MQG,0,2924-03082368-6A1321984,166KB,2026-04-24T21:32:51Z
MQG,2026-04-24T06:00:28,SECURITY HOLDER DETAILS,Ceasing to be a substantial holder from MQG,0,2924-03082366-2A1668190,196KB,2026-04-24T21:32:51Z
WDS,2026-04-24T04:59:18,SECURITY HOLDER DETAILS,Appendix 3Z,0,2924-03082348-6A1321976,215KB,2026-04-24T21:32:51Z
SUN,2026-04-24T02:38:27,ISSUED CAPITAL,Suncorp establishes Wholesale Note Issuance Programme,0,2924-03082298-2A1668164,1548KB,2026-04-24T21:32:51Z
