member_name,party,state,chamber,ticker,transaction_type,amount_range,transaction_date,disclosure_date,asset_description
Sheldon Whitehouse,D,,Senate,LRCX,sell,"$15,001 - $50,000",2025-08-28,,
Sheldon Whitehouse,D,,Senate,UNH,sell,"$15,001 - $50,000",2025-08-28,,
Shelley Moore Capito,R,,Senate,BLK,sell,"$1,001 - $15,000",2025-08-04,,
Shelley Moore Capito,R,,Senate,PLD,buy,"$1,001 - $15,000",2025-08-01,,
Shelley Moore Capito,R,,Senate,SHW,buy,"$1,001 - $15,000",2025-08-01,,
Markwayne Mullin,R,,Senate,UNH,sell,"$15,001 - $50,000",2025-08-01,,
Angus King,I,,Senate,LOW,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,NVDA,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,UBER,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,VRT,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,AMD,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,ADSK,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,BX,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,JPM,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,KEX,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,MRVL,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,MSFT,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,META,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,NFLX,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,ONON,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,PYPL,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,GOOGL,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,AMAT,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,BAC,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,ANET,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,TMO,sell,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,PWR,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,XOM,buy,"$1,001 - $15,000",2025-07-21,,
Angus King,I,,Senate,UNH,sell,"$1,001 - $15,000",2025-07-15,,
John Boozman,R,,Senate,MDLZ,sell,"$1,001 - $15,000",2025-07-31,,
John Boozman,R,,Senate,GD,sell,"$1,001 - $15,000",2025-07-31,,
John Boozman,R,,Senate,JPM,sell,"$1,001 - $15,000",2025-07-24,,
John Boozman,R,,Senate,HYG,sell,"$1,001 - $15,000",2025-07-08,,
John Boozman,R,,Senate,MU,sell,"$1,001 - $15,000",2025-07-01,,
John Boozman,R,,Senate,WMT,buy,"$1,001 - $15,000",2025-07-31,,
John Boozman,R,,Senate,GE,buy,"$1,001 - $15,000",2025-07-31,,
John Boozman,R,,Senate,GIGB,buy,"$1,001 - $15,000",2025-07-08,,
Sheldon Whitehouse,D,,Senate,NVDA,sell,"$15,001 - $50,000",2025-07-07,,
Sheldon Whitehouse,D,,Senate,ADI,sell,"$15,001 - $50,000",2025-07-03,,
Shelley Moore Capito,R,,Senate,GD,sell,"$1,001 - $15,000",2025-07-31,,
Shelley Moore Capito,R,,Senate,CL,sell,"$1,001 - $15,000",2025-07-31,,
Shelley Moore Capito,R,,Senate,PPG,sell,"$1,001 - $15,000",2025-07-31,,
Shelley Moore Capito,R,,Senate,PPG,sell,"$1,001 - $15,000",2025-07-30,,
Shelley Moore Capito,R,,Senate,META,buy,"$1,001 - $15,000",2025-07-29,,
Shelley Moore Capito,R,,Senate,GOOGL,buy,"$1,001 - $15,000",2025-07-29,,
Shelley Moore Capito,R,,Senate,AAPL,sell,"$1,001 - $15,000",2025-07-18,,
Shelley Moore Capito,R,,Senate,AFL,sell,"$1,001 - $15,000",2025-07-18,,
Shelley Moore Capito,R,,Senate,MSFT,sell,"$1,001 - $15,000",2025-07-18,,
Shelley Moore Capito,R,,Senate,JPM,sell,"$1,001 - $15,000",2025-07-18,,
Shelley Moore Capito,R,,Senate,AVGO,sell,"$1,001 - $15,000",2025-07-18,,
Shelley Moore Capito,R,,Senate,CB,sell,"$1,001 - $15,000",2025-07-17,,
Shelley Moore Capito,R,,Senate,AXP,buy,"$15,001 - $50,000",2025-07-01,,
Lindsey Graham,R,,Senate,BSCV,buy,"$15,001 - $50,000",2025-06-30,,
Lindsey Graham,R,,Senate,XONE,buy,"$15,001 - $50,000",2025-06-30,,
John Boozman,R,,Senate,UNH,sell,"$1,001 - $15,000",2025-06-11,,
John Boozman,R,,Senate,MU,sell,"$1,001 - $15,000",2025-06-11,,
John Boozman,R,,Senate,TBLL,buy,"$1,001 - $15,000",2025-06-11,,
John Boozman,R,,Senate,AVGO,buy,"$1,001 - $15,000",2025-06-11,,
John Hickenlooper,D,,Senate,CMG,sell,"$100,001 - $250,000",2025-06-12,,
A. Mitchell Jr. McConnell,R,,Senate,LAZR,sell,"$15,001 - $50,000",2025-06-26,,
Shelley Moore Capito,R,,Senate,UNH,sell,"$1,001 - $15,000",2025-06-23,,
Shelley Moore Capito,R,,Senate,WFC,sell,"$1,001 - $15,000",2025-06-18,,
Shelley Moore Capito,R,,Senate,ADI,sell,"$1,001 - $15,000",2025-06-18,,
Shelley Moore Capito,R,,Senate,MSFT,sell,"$1,001 - $15,000",2025-06-18,,
Shelley Moore Capito,R,,Senate,C,sell,"$1,001 - $15,000",2025-06-18,,
Shelley Moore Capito,R,,Senate,XOM,sell,"$1,001 - $15,000",2025-06-18,,
Ron Wyden,D,,Senate,PFE,sell,"$1,001 - $15,000",2025-06-03,,
A. Mitchell Jr. McConnell,R,,Senate,WFC,buy,"$1,001 - $15,000",2025-06-01,,
John Boozman,R,,Senate,FBIN,sell,"$1,001 - $15,000",2025-05-30,,
John Boozman,R,,Senate,GD,sell,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,LOW,sell,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,NRG,sell,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,DTE,sell,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,TBLL,sell,"$1,001 - $15,000",2025-05-16,,
John Boozman,R,,Senate,META,buy,"$1,001 - $15,000",2025-05-30,,
John Boozman,R,,Senate,RTX,buy,"$1,001 - $15,000",2025-05-30,,
John Boozman,R,,Senate,GOOGL,buy,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,ATO,buy,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,HD,buy,"$1,001 - $15,000",2025-05-20,,
John Boozman,R,,Senate,META,buy,"$1,001 - $15,000",2025-05-16,,
John Boozman,R,,Senate,HD,buy,"$1,001 - $15,000",2025-05-16,,
John Boozman,R,,Senate,AMZN,buy,"$1,001 - $15,000",2025-05-16,,
John Hickenlooper,D,,Senate,LBRDK,buy,"$250,001 - $500,000",2025-05-19,,
John Fetterman,D,,Senate,GOOG,buy,"$1,001 - $15,000",2025-05-15,,
