report_date,category,classification,product_type,firm,state,reason,voluntary,product_description,status,captured_at
20260415,food,Class I,Food,"Pure Vitamins and Natural Supplements, LLC",FL,FDA analysis revealed the presence of undeclared sildenafil and Tadalafil,Voluntary: Firm initiated,"Boner Bears Honey Male Enhancement 100% Wildflower Honey, total of 15 pouches per box, Net Wt 15 G each pouch. Dosage: Consume 1 entire pouch 30 minutes before Intercourse. MANUFACTURED IN: FLORIDA. UPC 788362191603",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class II,Food,"F&S Fresh Foods, Inc.",NJ,Undeclared sesame. Sandwich contains visible sesame but label does not declare sesame.,Voluntary: Firm initiated,"ReadyMeals Turkey Bacon & Cheddar Pretzel Duo Sandwich, perishable, Keep Refrigerated, plastic clamshell, net wt. 10 oz, UPC 8 26766 25036 3. Distributed By F&S Fresh Foods Vineland, NJ 08360.  Label declares CONTAINS EGG, MILK, SOY, WHEAT.",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class II,Food,"Blueroot Health, Inc.",CT,"Contains undeclared egg, soy, and hazelnut",Voluntary: Firm initiated,"Vital Nutrients Aller-C (vitamin C, citrus bioflavonoids, isoquercitrin, and bromelain)100 count bottles and 200 count bottles",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,Fagron Compounding Services,KS,Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,Voluntary: Firm initiated,"Vancomycin HCI, 1.5 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC 71266-5085-01",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, (2,250 mg per 250 mL) (9 mg per mL) 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Zurich, IL 60047, Unit of Use NDC: 65219-470-05, Unit of Sale NDC Number: 65",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.45% Sodium Chloride Injection, USP, 1.125 grams per 250 mL (4.5 mg per mL), 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Zurich, IL 60047, Unit of Use NDC: 63323-626-03, Unit of Sale NDC Numbe",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Teva Pharmaceuticals USA, Inc",NJ,CGMP Deviations: use of an unapproved raw material,Voluntary: Firm initiated,"Clonidine Transdermal System, USP, 0.2 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Laboratories UT Inc., Salt Lake City, UT 84108, Distributed by: Actavis Pharma, Inc, Parsippany, NJ, ND",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP 900 mg per 100 mL (9 mg per mL) 500 mL in a Single Dose freeflex bag, 500 mL x 20, Manufactured for: Fresenius Kabi USA, LLC (""Fresenius Kabi""), IL 60047, Unit of Use NDC: 65219-432-20, Unit of Sale NDC N",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, 0.9% (900 mg per 100 mL) (9 mg per mL) 100 mL in a 100 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Zurich, IL 600047, Unit of Use NDC: 65219-468-05, Unit of Sale NDC Number",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, (4,500 mg per 500 mL) (9 mg per mL) 500 mL in a 500 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Zurich, IL 60047, Unit of Use NDC: 65219-472-05, Unit of Sale NDC Number: 65",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Teva Pharmaceuticals USA, Inc",NJ,CGMP Deviations: use of an unapproved raw material,Voluntary: Firm initiated,"Clonidine Transdermal System, USP, 0.1 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx Only, Manufactured by: Actavis Laboratories UT Inc., Salt Lake City, UT 84108, Distributed by: Actavis Pharma, Inc, Parsippany, NJ, ND",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,Fagron Compounding Services,KS,Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,Voluntary: Firm initiated,"Vancomycin HCI, 1.25 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC 71266-5083-01",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 100 mL in a Single Dose freeflex bag, Rx only, BD Beckton, Dickson and Company, 1 Beckton Drive, Franklin Lakes, NJ 07417 USA, Distributed by BD, Manufactured by: Freseniu",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,GE Healthcare Ireland Limited,,Presence of particulate matter,Voluntary: Firm initiated,"GE Healthcare Omnipaque (iohexol) Injection, 350 mg/mL (64.7%), Rx Only, Distributed by: GE Healthcare Inc., Marlborough, MA 01752 USA, NDC 0407-1414-91.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Cipla USA, Inc.",NJ,Lack of Assurance of Sterility: Due to an FDA observation at the contract manufacturing site for deficiencies in their visual inspection procedure.,Voluntary: Firm initiated,"Lanreotide Injection, 120 mg/0.5 mL, Box contains 1 Pre-filled syringe, Single dose only, Rx Only, Manufactured by: Pharmathen International, S.A., Rodopi, Greece.  Manufactured for: Cipla USA, Inc., 10 Independence Boulevard, Suite 300, Wa",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"5% Dextrose Injection, USP 2.5 g per 50 mL (50 mg per mL) 50 mL in a 100 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit of Use NDC: 65219-456-05, Unit of Sale NDC Number: 65219-456-60.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Teva Pharmaceuticals USA, Inc",NJ,CGMP Deviations: use of an unapproved raw material,Voluntary: Firm initiated,"Clonidine Transdermal System, USP, 0.3 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Laboratories UT Inc., Salt Lake City, UT 84108, Distributed by: Actavis Pharma, Inc, Parsippany, NJ, ND",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,Fagron Compounding Services,KS,Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,Voluntary: Firm initiated,"norepinephrine Bitartrate, 32mg per 250mL 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC 71266-5027-02",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"5% Dextrose Injection, USP 12.5 g per 250 mL (50 mg per mL) 250 mL in a 250 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit of Use NDC: 65219-458-05, Unit of Sale NDC Number: 65219-458-30.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"5% Dextrose Injection, USP 5 g per 100 mL (50 mg per mL) 100 mL in a 100 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit of Use NDC: 65219-464-05, Unit of Sale NDC Number: 65219-464-50.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 1,000 mL in a Single Dose freeflex bag, 1,000 mLx10, Fresenius Medical Care, Waltham, MA 02451, Distributed by: Fresenius Medical Care RTG, LLC, Manufactured by: Fresenius",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Viatris, Inc.",PA,Failed Dissolution Specifications,Voluntary: Firm initiated,"Xanax XR, alprazolam, extended-release tablets, 3 mg, 60 Tablets bottles, Rx only, Distributed by: Viatris Specialty LLC, Morgantown, WV 06506, U.S.A, Made in Ireland, NDC 58151-506-91",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Preferred Pharmaceuticals, Inc.",CA,Lack of Assurance of Sterility,Voluntary: Firm initiated,"Artificial Tears Lubricant Eye Drops (glycerin 0.2%, hypromellose 0.2%, polyethylene glycol 400 1%), 0.5 oz bottles, Mfg: Geri-Care; Brooklyn, New York NDC 68788-7266-0",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,Fagron Compounding Services,KS,Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,Voluntary: Firm initiated,"norepinephrine Bitartrate,16mg per 250mL 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC 71266-5026-02",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP 0.9% (450 mg per 50 mL) (9 mg per mL) 50 mL, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Zurich, IL 60047, Unit of Use NDC: 65219-466-05, Unit of Sale NDC Number: 65219-466-60.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, 50 mL x60, Becton, Dickson and Company, 1 Beckton Drive, Franklin Lakes, NJ 07417 USA, Distributed by BD, Manufactured by Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit of Sale NDC Number: 17271-701-02",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 250 mL in a Single Dose freeflex bag, Rx only, BD Becton, Dickson and Company, 1 Beckton Drive, Franklin Lakes, NJ 07417, Distributed by BD, Manufactured by: Fresenius Kab",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Teva Pharmaceuticals USA, Inc",NJ,Superpotent and Subpotent,Voluntary: Firm initiated,"Isotretinoin Capsules, USP, 40 mg, 10 count Prescription Pacs, Rx only, Manufactured for: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054, NDC 0591-2436-15 (carton), NDC 0591-2436-45 (blister pack).",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,Fagron Compounding Services,KS,Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,Voluntary: Firm initiated,"Vancomycin HCL, 1 gram added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC 71266-5082-01",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,GE Healthcare Ireland Limited,,Presence of particulate matter,Voluntary: Firm initiated,"GE Healthcare Omnipaque (iohexol) Injection, 300 mg/mL (64.7%), Rx Only, Distributed by: GE Healthcare Inc., Marlborough, MA 01752 USA, NDC 0407-1413-63.",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Teva Pharmaceuticals USA, Inc",NJ,Superpotent and Subpotent,Voluntary: Firm initiated,"Isotretinoin Capsules, USP, 30 mg, Rx Only, 10 count Prescription Pack, Manufactured for: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054, NDC 0591-2435-15 (carton), NDC 0591-2435-45 (blister pack).",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Fresenius Kabi USA, LLC",IL,Lack of Assurance of Sterility,Voluntary: Firm initiated,"0.9% Sodium Chloride Injection, USP 900 mg per 100 mL (9 mg per mL), 1,000 mL in a Single Dose freeflex bag, Rx only, BD Becton, Dickson and Company, 1 Becton Drive, Franklin Lakes, NJ 07417, Distributed by BD, Manufactured by Fresenius Kab",Ongoing,2026-04-27T23:09:58Z
20260415,drug,Class II,Drugs,"Cipla USA, Inc.",NJ,Lack of Assurance of Sterility: Due to an FDA observation at the contract manufacturing site for deficiencies in their visual inspection procedure.,Voluntary: Firm initiated,"Lanreotide Injection, 120 mg*/0.5 mL, Box contains 1 Pre-filled syringe and 1 safety needle, Single dose only, Rx Only, Manufactured by: Pharmathen International, S.A., Rodopi, Greece.  Manufactured for: Cipla USA, Inc., 10 Independence Bou",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,"XTANT Medical Holdings, Inc",MT,"Units from one lot were mislabeled with an incorrect part number, identifying the device as a shorter screw length than it physically is.",Voluntary: Firm initiated,"XTANT MEDICAL Xpress Pedicle Screw System Dual Lead 6.5 x 50 mm, Part Number X073-6555-DL.",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:    1. NON VASCULAR PACK, Medline SKU # DYNJ68037C;   2. VEIN, Medline SKU # DYNJ89845;   3. VEIN",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Arterial Pressure Monitoring Tray, Reference Part Number APMY-2.5-15-0-2.5	, Order Number G58412; Reference Part Number APMY-4.0-21J-1-12, Order Number G58419",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"NAMIC Angiographic Control Syringe, labeled as follows:    1. SYRINGE,7ML,TR/FR,RA,W/RES,-,P/G, Medline SKU 70083007;   2. SYRINGE,8ML,TR/FR,RA,W/RES,-,P/G, Medline SKU 70084007;   3. MTS,SYRINGE,8ML,TR/FR,RA,NO,RES,-,P/G, Medline SKU 70084",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:    1. CATH LAB PACK-LF, Medline SKU 00-HCT055P;   2. INTERVENTIONAL CATH LAB PK-LF, Medline SKU ",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:  CVOR ANGIOGRAPHY PACK-LF, Medline SKU DYNJ42367B",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:    SPECIAL PROCEDURE TRAY, Medline SKU # DYNJ80513B",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"Melker Universal Cuffed Emergency Cricothyrotomy Catheter Set:  Reference Part Number C-TCCSB-500-UNI, Order Number G32193;   Reference Part Number C-TCCSB-500-UNI-01, Order Number G47665.",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Cook¿ Strange Bile Duct Stone Exploration Set:  Reference Part Number C-CSRC-7.5D-40-STRANGE, Order Number G09108",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Wayne Pneumothorax Set:  Reference Part Number C-UTPT-1020-WAYNE-IMH, Order Number G56532;   Reference Part Number C-UTPT-1400-WAYNE-112497-IMH, Order Number G56535.",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Blue Rhino¿ G2-Multi Percutaneous Tracheostomy Introducer Tray:  Reference Part Number C-PTISY-100-HC-G-NA, Order Number G57703;   Reference Part Number C-PTISY-100-UNL-HC-G-NA, Order Number G57706;   Reference Part Number C-PT",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:    1. ROBOTIC PACK, Medline SKU # DYNJ58475F;   2. URO/GEN ROBOTIC PACK, Medline SKU # DYNJ60803",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"NAMIC Angiographic Syringe, labeled as follows:    1. SYRINGE,20ML,CONTROL,-,PKG, Medline SKU 70075027;   2. SYRINGE,10ML,TR/FR,RA,W/RES, Medline SKU 70085007;   3. MTO,SYRINGE,10ML,TR/FG,RA,-,PKG, Medline SKU 70085107;   4. SYRINGE,12ML,TR",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Approach CTO-18 Micro Wire Guide, Reference Part Number CMW-14-190-18G, Order Number G50788; Reference Part Number CMW-14-300-18G, Order Number G50792",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Brahms GmbH,,Customers have observed quality control values out of range at the lowest quality control level (QC Level 1) for the PIGF assay which require troubleshooting steps to resolve.  If Quality Controls are not performed according to the Instruct,Voluntary: Firm initiated,"B.R.A.H.M.S PlGF Plus KRYPTOR, Catalog Number: 859075N.  in vitro diagnostic test for Placental Growth Factor",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Stryker Sustainability Solutions,AZ,Due to potential for tourniquet cuffs to detach from the bladder at the welding connection and result in the cuff not being able to maintain pressure.,Voluntary: Firm initiated,"Stryker Sustainability Solution Color Cuff 24"" (Yellow) Quick Connect Dual Port Single Bladder REF 5921-024-235    Stryker Sustainability Solution Color Cuff 18"" (Red), Quick Connect Dual Port Single Bladder REF 5921-018-135    Stryker Sust",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Spectrum¿ Central Venous Tray:  Reference Part Number C-UQLMYJ-1001J-RSC-ABRM-HC-FST-A-RD, Order Number G44800;   Reference Part Number C-UTLMYJ-701J-ABRM-HC-IHI-FST-A-RD, Order Number G44809;   Reference Part Number C-UTLMYJ-7",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,"Siemens Medical Solutions USA, Inc",PA,"During patient examinations, the system may sporadically display a major increase of the x-ray dose applied to the patient.  Despite the reported dose showing significantly higher, the actual applied x-ray dose levels are in accordance with",FDA Mandated,"ARTIS pheno and ARTIS Icono biplane, floor and ceiling. Model Numbers 10849000, 11327600, 11328100, 11327700.",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Spectrum¿ Central Venous Catheter Set:  Reference Part Number C-UDLM-401J-ABRM-HC, Order Number G43983;   Reference Part Number C-UDLM-401J-ABRM-HC-CAH, Order Number G24754;   Reference Part Number C-UDLM-401J-LSC-ABRM-HC, Orde",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Approach CTO-6 Micro Wire Guide, Reference Part Number CMW-14-190-6G, Order Number G50786",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"NAMIC Angiographic Syringe, labeled as follows: 1. SYRINGE,20ML,CONTROL,-,PKG, Medline SKU 70075027; 2. SYRINGE,10ML,TR/FR,RA,W/RES, Medline SKU 70085007; 3. MTO,SYRINGE,10ML,TR/FG,RA,-,PKG, Medline SKU 70085107; 4. SYRINGE,12ML,TR/FR,RA,W/",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,Cook Incorporated,IN,Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,Voluntary: Firm initiated,"COOK MEDICAL Thal-Quick Chest Tube Tray:  Reference Part Number C-TQTSY-3200, Order Number G07242",Ongoing,2026-04-27T23:09:58Z
20260415,device,Class II,Devices,"Beckman Coulter, Inc.",CA,Due to a manufacturing issue - missing a drug in well 4/4 but contain double the amount of antibiotics,Voluntary: Firm initiated,MicroScan Neg MIC 3J REF C54814,Ongoing,2026-04-27T23:09:58Z
20260415,device,Class I,Devices,"Medline Industries, LP",IL,"Medline Industries, LP has identified through post-market surveillance a potential risk of the syringe rotating adaptor unwinding during use, which may result in a loose connection and/or full disconnection between the syringe and manifold.",Voluntary: Firm initiated,"Medline medical convenience kits, containing NAMIC Angiographic Rotating Adaptor (RA) Control Syringes (Namic RA syringes), labeled as follows:    MINOR PLASTIC-LF, Medline Kit SKU # DYNJ86596",Ongoing,2026-04-27T23:09:58Z
